complaint_id,customer_id,complaint_date,category,severity,status,resolution_days
CP75,C10696,2026-05-27,Payment,Low,Pending,2
CP76,C10614,2026-07-22,Pricing,High,Resolved,5
CP77,C10199,2025-05-04,Payment,Medium,Pending,16
CP78,C10648,2026-06-26,Account,Low,Resolved,2
CP79,C10560,2026-07-16,Technical,Low,Resolved,13
CP80,C10622,2025-04-24,Delivery,Low,Resolved,5
CP81,C10612,2025-08-19,Account,Medium,Open,25
CP82,C10036,2025-09-29,Pricing,High,Resolved,30
CP83,C10151,2025-09-07,Service,Low,Pending,28
CP84,C10331,2025-06-05,Service,Medium,Open,9
CP85,C10172,2025-10-08,Account,Medium,Resolved,5
CP86,C10534,2026-08-03,Pricing,Low,Open,15
CP87,C10507,2026-02-20,Service,Low,Open,27
CP88,C10749,2026-04-14,Account,Low,Resolved,30
CP89,C10950,2025-07-26,Account,Low,Resolved,2
CP90,C10285,2025-03-18,Account,Low,Resolved,27
CP91,C10657,2025-06-23,Account,Low,Resolved,18
CP92,C10875,2025-11-20,Pricing,Low,Resolved,28
CP93,C10089,2025-02-17,Technical,High,Resolved,24
CP94,C10908,2025-10-09,Account,Low,Resolved,22
CP95,C10814,2025-09-17,Pricing,Medium,Resolved,5
CP96,C10416,2025-02-24,Pricing,Medium,Resolved,20
CP97,C10027,2026-06-19,Technical,Low,Resolved,7
CP98,C10106,2025-12-16,Delivery,Medium,Open,30
CP99,C10845,2026-05-11,Technical,Low,Resolved,16
CP100,C10187,2025-01-13,Technical,Low,Resolved,17
CP101,C10996,2025-12-13,Pricing,Medium,Pending,14
CP102,C10162,2026-01-07,Delivery,Medium,Pending,3
CP103,C10208,2025-11-03,Technical,Low,Pending,20
CP104,C10667,2026-02-13,Technical,Low,Open,19
CP105,C10290,2026-08-10,Delivery,High,Resolved,20
CP106,C10350,2025-05-09,Pricing,Low,Resolved,2
CP107,C10051,2026-04-22,Service,Medium,Open,8
CP108,C10654,2026-02-23,Technical,Medium,Open,19
CP109,C10845,2025-11-25,Pricing,Low,Resolved,1
CP110,C10090,2025-06-29,Pricing,High,Resolved,16
CP111,C10934,2026-02-24,Technical,Low,Open,4
CP112,C10734,2026-03-06,Pricing,High,Resolved,6
CP113,C10162,2025-12-04,Pricing,Medium,Open,1
CP114,C10386,2025-06-14,Pricing,High,Open,13
CP115,C10802,2025-12-12,Pricing,High,Pending,9
CP116,C10577,2025-01-26,Pricing,Low,Resolved,9
CP117,C10481,2025-06-28,Service,Medium,Pending,24
CP118,C10572,2026-01-07,Service,Low,Resolved,22
CP119,C10188,2025-06-07,Payment,Low,Resolved,13
CP120,C10558,2026-06-08,Delivery,High,Resolved,7
CP121,C10023,2025-02-10,Pricing,High,Pending,25
CP122,C10441,2026-08-15,Payment,Medium,Pending,16
CP123,C10444,2026-05-18,Service,Low,Resolved,5
CP124,C10091,2026-07-08,Technical,Medium,Pending,11
CP125,C10581,2026-07-21,Delivery,Medium,Resolved,9
CP126,C10171,2025-11-01,Account,Low,Resolved,20
CP127,C10220,2026-07-14,Technical,Low,Open,26
CP128,C10770,2025-11-07,Payment,Medium,Resolved,5
CP129,C10079,2026-06-24,Service,Low,Resolved,26
CP130,C10699,2025-02-21,Account,Low,Resolved,4
CP131,C10718,2026-04-11,Account,Medium,Open,11
CP132,C10530,2026-04-27,Payment,Low,Pending,20
CP133,C10347,2025-08-10,Pricing,Low,Resolved,17
CP134,C10023,2026-05-22,Pricing,Low,Resolved,23
CP135,C10550,2025-06-29,Pricing,Medium,Resolved,1
CP136,C10471,2025-08-20,Technical,Low,Resolved,22
CP137,C10209,2026-02-24,Account,Low,Resolved,12
CP138,C10526,2025-08-16,Technical,Medium,Open,22
CP139,C10724,2026-05-09,Pricing,Medium,Open,23
CP140,C10362,2025-07-27,Service,Low,Pending,12
CP141,C10942,2026-08-03,Payment,Low,Resolved,10
CP142,C10466,2026-05-19,Delivery,Low,Open,4
CP143,C10266,2026-06-27,Account,Low,Resolved,28
CP144,C10687,2025-10-07,Account,Low,Resolved,3
CP145,C10683,2026-07-29,Account,Medium,Open,21
CP146,C10909,2025-01-07,Service,Low,Open,16
CP147,C10697,2025-01-18,Account,Medium,Resolved,6
CP148,C10484,2026-02-16,Technical,Low,Pending,14
CP149,C10864,2025-02-11,Technical,High,Resolved,14
CP150,C10847,2026-08-07,Account,Low,Resolved,7
CP151,C10364,2025-03-31,Pricing,Low,Pending,5
CP152,C10394,2026-06-24,Delivery,Low,Resolved,5
CP153,C10355,2025-08-01,Account,Low,Pending,24
CP154,C10533,2026-05-07,Delivery,Medium,Resolved,12
CP155,C10570,2026-02-06,Technical,High,Resolved,20
CP156,C10709,2025-07-25,Service,Low,Resolved,9
CP157,C10929,2026-06-26,Pricing,High,Resolved,25
CP158,C10696,2026-02-08,Delivery,High,Resolved,11
CP159,C10282,2025-03-06,Delivery,Medium,Resolved,15
CP160,C10646,2025-09-19,Service,Medium,Pending,1
CP161,C10383,2025-02-21,Technical,Medium,Resolved,29
CP162,C10069,2026-05-19,Technical,Medium,Resolved,14
CP163,C10523,2025-06-21,Payment,Medium,Open,15
CP164,C10912,2025-09-04,Service,Low,Resolved,24
CP165,C10584,2025-12-26,Pricing,Medium,Open,5
CP166,C10170,2025-02-19,Account,Low,Resolved,20
CP167,C10890,2026-07-11,Payment,High,Open,30
CP168,C10145,2026-06-17,Account,Low,Open,4
CP169,C10326,2025-02-25,Payment,Medium,Open,6
CP170,C10241,2026-03-10,Payment,Medium,Resolved,16
CP171,C10835,2025-02-25,Pricing,Low,Pending,24
CP172,C10865,2025-12-13,Pricing,Low,Resolved,22
CP173,C10757,2026-07-06,Pricing,High,Resolved,12
CP174,C10005,2026-07-17,Pricing,Medium,Open,22
CP175,C10954,2026-03-12,Technical,Medium,Resolved,14
CP176,C10869,2025-10-12,Account,High,Pending,30
CP177,C10139,2025-09-23,Service,Low,Pending,18
CP178,C10463,2025-03-24,Pricing,Low,Pending,19
CP179,C10850,2025-06-10,Account,Low,Pending,2
CP180,C10646,2025-12-01,Payment,Low,Resolved,26
CP181,C10797,2026-07-19,Account,Low,Pending,1
CP182,C10483,2025-05-31,Service,Low,Resolved,17
CP183,C10325,2026-01-08,Service,Low,Resolved,3
CP184,C10528,2026-06-29,Payment,Low,Resolved,26
CP185,C10650,2026-06-30,Technical,Low,Pending,19
CP186,C10762,2026-02-23,Delivery,Medium,Resolved,29
CP187,C10240,2025-09-28,Delivery,Low,Resolved,8
CP188,C10933,2026-08-20,Payment,Low,Open,9
CP189,C10773,2026-08-20,Pricing,Medium,Pending,15
CP190,C10868,2025-07-14,Technical,Medium,Resolved,20
CP191,C10252,2026-05-20,Technical,Low,Resolved,8
CP192,C10502,2025-02-18,Delivery,Low,Open,23
CP193,C10432,2026-06-17,Delivery,Low,Resolved,22
CP194,C10631,2025-04-18,Account,Medium,Open,14
CP195,C10692,2026-06-08,Service,Low,Resolved,30
CP196,C10764,2025-08-20,Service,Low,Resolved,1
CP197,C10225,2025-01-20,Pricing,Low,Resolved,26
CP198,C10692,2025-05-04,Account,Low,Pending,2
CP199,C10005,2025-11-26,Pricing,Low,Resolved,21
CP200,C10317,2026-08-28,Technical,Medium,Resolved,13
CP201,C10777,2026-05-20,Delivery,Low,Pending,25
CP202,C10964,2026-01-04,Service,Low,Resolved,13
CP203,C10493,2026-01-30,Payment,Medium,Resolved,12
CP204,C10622,2026-06-23,Delivery,Low,Resolved,12
CP205,C10686,2026-03-18,Account,Medium,Open,20
CP206,C10518,2026-05-06,Service,Low,Resolved,16
CP207,C10625,2026-07-08,Technical,Low,Resolved,12
CP208,C10070,2026-08-19,Delivery,Low,Open,6
CP209,C10104,2026-08-02,Service,High,Open,26
CP210,C10161,2025-09-29,Service,High,Resolved,11
CP211,C10676,2026-08-26,Account,Low,Resolved,20
CP212,C10006,2025-01-22,Account,Low,Open,27
CP213,C10669,2026-02-08,Delivery,High,Open,14
CP214,C10475,2026-02-07,Delivery,Medium,Resolved,29
CP215,C10147,2025-02-08,Delivery,High,Resolved,2
CP216,C10826,2025-07-18,Pricing,Low,Resolved,30
CP217,C10127,2026-05-05,Service,Medium,Resolved,20
CP218,C10611,2026-04-01,Pricing,Medium,Resolved,17
CP219,C10644,2025-04-08,Account,Medium,Resolved,24
CP220,C10771,2025-12-13,Delivery,Low,Resolved,8
CP221,C10805,2026-01-28,Payment,High,Open,2
CP222,C10931,2025-04-26,Technical,High,Open,2
CP223,C10302,2025-02-27,Technical,Low,Resolved,7
CP224,C10071,2026-02-24,Technical,High,Open,26
CP225,C10250,2025-01-12,Service,Medium,Resolved,14
CP226,C10348,2026-03-18,Pricing,Medium,Resolved,5
CP227,C10635,2026-02-05,Pricing,Medium,Resolved,22
CP228,C10326,2026-05-14,Delivery,Low,Resolved,11
CP229,C10050,2025-08-19,Delivery,Medium,Open,2
CP230,C10755,2026-05-18,Technical,Low,Resolved,18
CP231,C10600,2025-06-26,Payment,Medium,Resolved,23
CP232,C10159,2026-07-21,Technical,Medium,Resolved,17
CP233,C10914,2025-11-19,Delivery,Low,Resolved,9
CP234,C10911,2025-07-16,Delivery,High,Pending,9
CP235,C10044,2026-02-15,Pricing,Low,Resolved,25
CP236,C10900,2026-08-30,Service,High,Open,24
CP237,C10366,2025-08-27,Pricing,Medium,Resolved,14
CP238,C10809,2025-09-16,Payment,Low,Resolved,9
CP239,C10835,2026-06-12,Delivery,Low,Resolved,22
CP240,C10678,2025-12-12,Payment,Medium,Resolved,12
CP241,C10902,2025-06-10,Delivery,Medium,Resolved,20
CP242,C10288,2025-09-26,Account,Low,Resolved,14
CP243,C10677,2025-05-29,Account,Low,Resolved,6
CP244,C10767,2026-07-13,Service,Low,Resolved,10
CP245,C10114,2025-11-21,Account,Medium,Resolved,20
CP246,C10434,2026-04-20,Account,Low,Resolved,6
CP247,C10910,2025-07-18,Payment,High,Resolved,15
CP248,C10419,2026-07-23,Delivery,Low,Open,26
CP249,C10553,2025-03-15,Payment,Medium,Resolved,19
CP250,C10050,2025-10-15,Service,Low,Resolved,16
CP251,C10913,2025-07-22,Technical,Low,Open,21
CP252,C10821,2026-07-11,Payment,High,Open,20
CP253,C10738,2025-01-12,Pricing,Low,Resolved,29
CP254,C10087,2025-02-23,Delivery,High,Resolved,17
CP255,C10338,2025-05-14,Payment,Medium,Resolved,19
CP256,C10831,2025-11-23,Pricing,Medium,Resolved,20
CP257,C10685,2025-05-17,Technical,Low,Resolved,11
CP258,C10747,2026-07-20,Delivery,High,Resolved,17
CP259,C10522,2025-06-06,Account,Medium,Resolved,30
CP260,C10103,2026-06-12,Technical,Medium,Pending,28
CP261,C10737,2026-04-01,Service,Low,Resolved,25
CP262,C10974,2026-08-29,Pricing,Low,Open,12
CP263,C10176,2025-12-31,Pricing,Low,Resolved,9
CP264,C10618,2026-02-25,Pricing,Low,Resolved,9
CP265,C10708,2026-07-17,Technical,Low,Resolved,8
CP266,C10411,2026-08-02,Pricing,Low,Resolved,28
CP267,C10850,2025-05-22,Service,High,Resolved,3
CP268,C10135,2025-12-10,Service,Medium,Open,24
CP269,C10003,2026-03-27,Service,Low,Resolved,28
CP270,C10544,2025-05-13,Delivery,Low,Resolved,28
CP271,C10187,2026-07-05,Payment,Low,Resolved,20
CP272,C10764,2026-06-18,Delivery,Low,Pending,19
CP273,C10561,2025-09-05,Account,Low,Open,27
CP274,C10081,2025-01-22,Payment,Low,Open,7
CP275,C10785,2026-02-08,Payment,Medium,Resolved,24
CP276,C10736,2025-02-26,Payment,High,Resolved,22
CP277,C10980,2025-09-11,Delivery,Medium,Pending,18
CP278,C10341,2026-01-21,Payment,Medium,Open,5
CP279,C10469,2026-01-07,Service,Low,Pending,15
CP280,C10704,2026-01-06,Pricing,Medium,Resolved,19
CP281,C10954,2025-07-07,Account,High,Resolved,6
CP282,C10651,2025-02-27,Service,Medium,Resolved,26
CP283,C10960,2025-03-20,Payment,Medium,Resolved,2
CP284,C10799,2026-06-27,Technical,High,Open,30
CP285,C10674,2026-07-28,Service,Medium,Resolved,13
CP286,C10538,2025-08-16,Service,Medium,Open,18
CP287,C10282,2025-07-14,Service,High,Resolved,13
CP288,C10028,2025-02-27,Service,Medium,Open,25
CP289,C10956,2026-05-29,Account,Low,Pending,17
CP290,C10075,2025-05-03,Payment,Medium,Resolved,12
CP291,C10664,2025-08-20,Technical,Low,Resolved,10
CP292,C10314,2025-04-06,Payment,Low,Pending,14
CP293,C10061,2026-06-20,Pricing,Low,Open,4
CP294,C10750,2026-05-25,Technical,Low,Resolved,20
CP295,C10449,2025-12-29,Technical,Medium,Open,17
CP296,C10353,2025-11-29,Payment,Low,Resolved,28
CP297,C10711,2026-06-04,Service,Medium,Open,23
CP298,C10536,2025-09-17,Technical,Medium,Resolved,5
CP299,C10208,2025-08-13,Delivery,Medium,Resolved,14
CP300,C10569,2025-06-08,Service,High,Open,9
CP301,C10634,2026-07-02,Account,High,Resolved,1
CP302,C10027,2025-10-29,Delivery,Medium,Resolved,8
CP303,C10628,2026-05-02,Technical,Low,Pending,16
CP304,C10576,2025-09-12,Delivery,Low,Pending,8
CP305,C10793,2025-09-07,Account,Medium,Resolved,27
CP306,C10910,2025-12-10,Technical,Medium,Open,21
CP307,C10749,2025-07-21,Technical,Medium,Resolved,2
CP308,C10067,2025-09-01,Delivery,Low,Resolved,9
CP309,C10827,2025-10-26,Account,Low,Resolved,23
CP310,C10645,2026-02-22,Payment,Low,Resolved,7
CP311,C10719,2026-01-21,Pricing,Low,Resolved,1
CP312,C10902,2025-05-27,Delivery,Low,Resolved,29
CP313,C10300,2025-08-30,Pricing,Low,Resolved,20
CP314,C10664,2026-04-29,Technical,Low,Open,20
CP315,C10071,2026-04-21,Pricing,Low,Pending,5
CP316,C10274,2025-07-18,Technical,Low,Resolved,2
CP317,C10405,2025-01-04,Technical,Medium,Resolved,10
CP318,C10988,2026-02-26,Technical,Low,Open,8
CP319,C10256,2026-01-08,Technical,Medium,Resolved,24
CP320,C10445,2025-05-24,Pricing,Low,Pending,24
CP321,C10136,2025-05-03,Delivery,Medium,Resolved,9
CP322,C10569,2025-03-09,Delivery,Low,Resolved,17
CP323,C10398,2026-01-01,Pricing,Low,Resolved,26
CP324,C10246,2025-03-20,Delivery,Medium,Resolved,7
CP325,C10186,2025-12-31,Payment,Low,Resolved,26
CP326,C10490,2025-12-16,Payment,Low,Resolved,18
CP327,C10787,2025-05-18,Account,Low,Pending,15
CP328,C10648,2025-07-01,Payment,High,Resolved,16
CP329,C10721,2025-01-17,Pricing,Low,Open,21
CP330,C10418,2026-05-19,Service,Low,Open,20
CP331,C10746,2026-08-17,Payment,Low,Open,11
CP332,C10012,2025-12-14,Technical,Medium,Open,19
CP333,C10548,2026-02-03,Service,Medium,Resolved,22
CP334,C10263,2025-03-26,Pricing,Low,Resolved,25
CP335,C10259,2025-04-11,Service,High,Pending,19
CP336,C10967,2025-05-06,Service,Low,Resolved,28
CP337,C10242,2026-07-24,Pricing,Low,Open,26
CP338,C10905,2025-11-21,Pricing,Low,Resolved,24
CP339,C10735,2026-04-18,Account,Low,Resolved,4
CP340,C10495,2025-08-12,Pricing,Low,Resolved,24
CP341,C10098,2025-10-13,Service,Medium,Open,28
CP342,C10510,2025-03-09,Service,High,Pending,6
CP343,C10272,2025-03-10,Service,High,Resolved,15
CP344,C10073,2025-03-01,Service,Low,Open,24
CP345,C10681,2026-02-27,Service,Medium,Resolved,16
CP346,C10597,2025-10-10,Technical,Medium,Resolved,25
CP347,C10205,2025-06-25,Pricing,Medium,Resolved,27
CP348,C10748,2026-01-19,Payment,Medium,Resolved,22
CP349,C10068,2026-05-14,Technical,Low,Open,21
CP350,C10591,2026-04-02,Delivery,Medium,Resolved,19
CP351,C10218,2025-10-31,Payment,Medium,Resolved,18
CP352,C10833,2026-07-23,Service,Low,Resolved,18
CP353,C10630,2025-12-08,Payment,Low,Open,20
CP354,C10011,2026-04-29,Payment,Medium,Open,20
CP355,C10478,2025-09-04,Service,High,Resolved,12
CP356,C10475,2025-05-16,Payment,Medium,Resolved,20
CP357,C10289,2026-06-26,Pricing,Low,Resolved,2
CP358,C10753,2025-05-14,Delivery,Low,Resolved,2
CP359,C10334,2026-05-28,Payment,Low,Resolved,4
CP360,C10555,2025-12-29,Pricing,High,Resolved,29
CP361,C10433,2025-12-18,Delivery,Medium,Resolved,22
CP362,C10713,2025-10-27,Service,High,Resolved,26
CP363,C10962,2025-10-30,Pricing,Low,Resolved,25
CP364,C10510,2026-03-10,Technical,Medium,Resolved,2
CP365,C10177,2026-01-04,Account,Low,Resolved,2
CP366,C10827,2026-03-25,Delivery,High,Resolved,14
CP367,C10219,2025-06-09,Pricing,High,Pending,25
CP368,C10347,2025-03-06,Account,Low,Resolved,19
CP369,C10648,2025-04-18,Technical,High,Resolved,18
CP370,C10003,2026-01-13,Service,Medium,Resolved,6
CP371,C10765,2025-09-24,Technical,Low,Pending,6
CP372,C10706,2026-07-07,Delivery,Medium,Open,28
CP373,C10773,2026-04-11,Service,Medium,Resolved,4
CP374,C10778,2026-07-24,Account,Low,Resolved,13
CP375,C10157,2025-07-10,Delivery,Medium,Resolved,11
CP376,C10606,2025-01-29,Account,Medium,Resolved,13
CP377,C10018,2025-10-05,Technical,Low,Pending,18
CP378,C10050,2025-02-03,Service,Medium,Resolved,4
CP379,C10114,2025-07-26,Account,Medium,Resolved,3
CP380,C10688,2025-02-21,Payment,Medium,Pending,11
CP381,C10124,2025-12-15,Technical,Medium,Open,16
CP382,C10711,2026-02-01,Service,Low,Resolved,26
CP383,C10269,2025-03-05,Account,Low,Open,12
CP384,C10891,2025-06-15,Payment,Low,Resolved,11
CP385,C10537,2025-05-19,Technical,Medium,Pending,27
CP386,C10316,2026-08-08,Service,Medium,Pending,20
CP387,C10601,2026-04-20,Pricing,Low,Resolved,29
CP388,C10442,2026-05-16,Payment,Medium,Open,17
CP389,C10910,2026-02-10,Payment,Low,Pending,20
CP390,C10062,2025-05-10,Service,Low,Open,5
CP391,C10594,2026-07-29,Delivery,Low,Open,4
CP392,C10773,2025-02-23,Pricing,Low,Resolved,8
CP393,C10570,2025-04-28,Delivery,Low,Resolved,17
CP394,C10731,2025-03-30,Payment,Medium,Resolved,9
CP395,C10142,2026-07-07,Delivery,Medium,Pending,14
CP396,C10625,2025-11-20,Payment,Medium,Resolved,29
CP397,C10958,2025-01-17,Technical,Medium,Resolved,1
CP398,C10125,2025-02-28,Service,Medium,Resolved,7
CP399,C10517,2025-06-20,Account,Low,Resolved,18
CP400,C10127,2025-05-27,Pricing,Low,Resolved,1
CP401,C10475,2025-07-31,Service,Medium,Resolved,2
CP402,C10928,2026-06-05,Technical,Low,Resolved,16
CP403,C10925,2026-01-09,Account,Low,Open,28
CP404,C10878,2025-01-09,Payment,Medium,Pending,28
CP405,C10904,2025-05-16,Delivery,High,Open,6
CP406,C10689,2026-02-25,Account,Low,Resolved,2
CP407,C10680,2026-01-18,Service,Medium,Resolved,22
CP408,C10078,2025-08-20,Payment,Medium,Pending,28
CP409,C10333,2026-01-20,Pricing,Medium,Resolved,9
CP410,C10834,2025-03-21,Account,Low,Resolved,18
CP411,C10156,2025-04-30,Payment,Medium,Resolved,17
CP412,C10891,2026-07-20,Technical,Medium,Resolved,7
CP413,C10448,2025-07-30,Delivery,Low,Open,22
CP414,C10545,2026-02-02,Service,Low,Resolved,19
CP415,C10892,2026-07-07,Pricing,Medium,Open,23
CP416,C10988,2025-05-29,Pricing,High,Resolved,24
CP417,C10269,2026-03-16,Technical,High,Resolved,21
CP418,C10873,2025-08-02,Delivery,High,Resolved,23
CP419,C10761,2025-08-07,Delivery,Medium,Resolved,19
CP420,C10024,2025-04-08,Pricing,Low,Pending,27
CP421,C10521,2025-01-01,Delivery,Medium,Resolved,8
CP422,C10822,2025-11-23,Technical,Low,Open,6
CP423,C10223,2025-02-25,Technical,Low,Resolved,8
CP424,C10018,2025-08-24,Service,Low,Resolved,23
CP425,C10996,2025-06-06,Pricing,High,Open,18
CP426,C10537,2025-08-24,Service,Medium,Resolved,29
CP427,C10432,2025-05-12,Technical,High,Open,12
CP428,C10706,2026-02-20,Technical,Low,Resolved,5
CP429,C10698,2026-02-18,Account,Low,Resolved,3
CP430,C10244,2025-06-23,Payment,Low,Resolved,26
CP431,C10897,2025-02-26,Service,Low,Resolved,12
CP432,C10753,2025-09-28,Technical,Low,Open,10
CP433,C10449,2025-09-20,Pricing,Low,Resolved,14
CP434,C10608,2025-10-17,Account,Medium,Open,6
CP435,C10644,2025-10-08,Service,Low,Resolved,16
CP436,C10904,2025-01-18,Payment,Low,Resolved,13
CP437,C10965,2025-05-15,Payment,Medium,Open,19
CP438,C10767,2025-05-18,Technical,Low,Open,9
CP439,C10073,2025-04-09,Pricing,High,Open,13
CP440,C10377,2025-01-16,Pricing,High,Resolved,26
CP441,C10975,2026-07-01,Delivery,Low,Resolved,27
CP442,C10534,2025-09-13,Delivery,High,Resolved,7
CP443,C10882,2026-01-23,Account,High,Resolved,8
CP444,C10854,2025-08-31,Payment,Medium,Resolved,25
CP445,C10795,2025-10-30,Account,Medium,Resolved,3
CP446,C10643,2025-07-20,Delivery,Low,Resolved,8
CP447,C10161,2025-06-21,Account,Low,Open,15
CP448,C10117,2025-03-23,Account,Low,Open,21
CP449,C10131,2026-08-11,Payment,Medium,Pending,4
CP450,C10251,2025-05-25,Service,Medium,Open,28
CP451,C10680,2026-04-06,Service,Medium,Resolved,18
CP452,C10525,2026-02-10,Delivery,Low,Open,2
CP453,C10894,2025-03-02,Payment,Low,Open,10
CP454,C10307,2026-07-06,Service,Low,Pending,12
CP455,C10741,2026-03-28,Payment,Medium,Resolved,6
CP456,C10730,2026-06-09,Service,High,Resolved,19
CP457,C10551,2025-07-23,Pricing,Medium,Resolved,11
CP458,C10245,2025-03-04,Pricing,High,Resolved,30
CP459,C10184,2025-12-16,Technical,Medium,Resolved,5
CP460,C10718,2025-04-21,Technical,Low,Resolved,19
CP461,C10493,2025-01-24,Delivery,Low,Resolved,14
CP462,C10932,2026-01-28,Payment,Low,Resolved,12
CP463,C10885,2026-04-26,Service,Low,Resolved,16
CP464,C10962,2025-12-24,Payment,Medium,Pending,2
CP465,C10599,2025-08-24,Account,Low,Resolved,8
CP466,C10215,2025-01-31,Delivery,Low,Resolved,15
CP467,C10481,2026-07-26,Technical,High,Pending,1
CP468,C10221,2025-10-08,Delivery,Low,Open,3
CP469,C10876,2025-03-01,Delivery,High,Open,22
CP470,C10483,2026-05-31,Account,Low,Pending,22
CP471,C10521,2025-07-14,Payment,Medium,Open,16
CP472,C10846,2026-02-11,Pricing,Low,Open,7
CP473,C10337,2026-01-10,Technical,Medium,Pending,23
CP474,C10435,2026-08-20,Payment,Low,Resolved,20
CP475,C10161,2025-04-20,Payment,Medium,Resolved,15
CP476,C10732,2025-02-12,Service,Low,Resolved,28
CP477,C10521,2025-11-16,Delivery,High,Resolved,2
CP478,C10673,2025-01-24,Payment,Low,Resolved,9
CP479,C10519,2025-12-17,Delivery,Medium,Resolved,14
CP480,C10456,2025-07-10,Account,Low,Resolved,11
CP481,C10703,2026-05-11,Technical,Medium,Resolved,30
CP482,C10444,2025-08-20,Account,High,Resolved,25
CP483,C10251,2026-04-27,Service,Medium,Open,2
CP484,C10070,2025-04-27,Service,Low,Pending,17
CP485,C10618,2026-03-22,Account,Medium,Open,14
CP486,C10578,2025-09-01,Delivery,Low,Resolved,1
CP487,C10533,2026-08-29,Pricing,High,Open,24
CP488,C10885,2025-10-18,Pricing,Low,Resolved,5
