interaction_id,customer_id,interaction_date,channel,interaction_type
I69,C10715,2025-09-09,Call,Login
I70,C10697,2025-11-25,Call,Inquiry
I71,C10878,2025-03-13,Branch,Purchase
I72,C10273,2025-08-10,Email,Complaint
I73,C10265,2026-05-07,Call,Login
I74,C10851,2025-09-28,Email,Login
I75,C10414,2026-07-10,Mobile,Support
I76,C10796,2025-07-14,Email,Login
I77,C10548,2025-09-01,Web,Login
I78,C10205,2026-07-30,Call,Complaint
I79,C10121,2025-04-23,Mobile,Inquiry
I80,C10583,2025-11-24,Branch,Complaint
I81,C10916,2025-12-12,Mobile,Purchase
I82,C10479,2026-07-01,Email,Inquiry
I83,C10039,2026-04-13,Branch,Complaint
I84,C10864,2025-01-15,Mobile,Inquiry
I85,C10840,2025-10-17,Branch,Complaint
I86,C10971,2026-05-11,Email,Support
I87,C10344,2026-01-03,Branch,Support
I88,C10293,2026-08-31,Call,Login
I89,C10819,2026-03-14,Branch,Support
I90,C10020,2026-07-27,Email,Support
I91,C10756,2026-01-04,Call,Login
I92,C10687,2026-04-14,Mobile,Support
I93,C10105,2026-05-08,Call,Complaint
I94,C10000,2025-02-10,Call,Inquiry
I95,C10309,2025-11-14,Branch,Complaint
I96,C10076,2025-05-17,Web,Support
I97,C10595,2025-05-18,Call,Complaint
I98,C10649,2025-03-01,Web,Login
I99,C10160,2026-03-24,Email,Complaint
I100,C10471,2026-03-12,Email,Purchase
I101,C10083,2025-06-16,Branch,Complaint
I102,C10912,2025-05-28,Branch,Login
I103,C10946,2025-10-08,Web,Complaint
I104,C10151,2025-04-29,Web,Complaint
I105,C10375,2025-05-14,Branch,Complaint
I106,C10317,2025-01-02,Call,Purchase
I107,C10166,2025-01-18,Email,Support
I108,C10895,2025-03-11,Email,Inquiry
I109,C10162,2026-01-15,Email,Inquiry
I110,C10433,2026-07-31,Email,Login
I111,C10239,2026-07-11,Email,Purchase
I112,C10639,2025-04-07,Mobile,Complaint
I113,C10434,2026-02-02,Email,Login
I114,C10845,2025-07-15,Branch,Inquiry
I115,C10898,2025-07-10,Mobile,Complaint
I116,C10870,2025-04-03,Branch,Complaint
I117,C10064,2026-01-26,Web,Complaint
I118,C10485,2025-11-12,Mobile,Login
I119,C10807,2025-05-22,Call,Login
I120,C10768,2025-02-20,Mobile,Inquiry
I121,C10656,2025-11-01,Mobile,Inquiry
I122,C10295,2025-09-26,Branch,Complaint
I123,C10444,2026-04-05,Web,Inquiry
I124,C10558,2025-06-30,Web,Purchase
I125,C10341,2025-03-25,Mobile,Complaint
I126,C10932,2026-02-16,Web,Support
I127,C10378,2026-07-25,Branch,Support
I128,C10858,2025-11-06,Call,Purchase
I129,C10783,2025-08-08,Call,Purchase
I130,C10707,2025-06-26,Email,Inquiry
I131,C10743,2025-09-07,Branch,Inquiry
I132,C10032,2025-09-06,Call,Login
I133,C10719,2025-02-21,Web,Inquiry
I134,C10285,2025-09-28,Call,Login
I135,C10837,2025-01-01,Mobile,Login
I136,C10184,2025-08-16,Branch,Inquiry
I137,C10535,2026-05-13,Call,Support
I138,C10162,2026-04-14,Web,Purchase
I139,C10082,2025-04-22,Call,Login
I140,C10185,2025-11-04,Call,Purchase
I141,C10411,2026-03-20,Web,Support
I142,C10468,2025-06-04,Mobile,Inquiry
I143,C10141,2025-01-27,Web,Login
I144,C10227,2025-02-28,Web,Complaint
I145,C10205,2026-04-19,Email,Support
I146,C10636,2025-10-16,Mobile,Login
I147,C10605,2026-04-23,Web,Support
I148,C10932,2025-11-01,Web,Purchase
I149,C10373,2026-01-31,Web,Complaint
I150,C10428,2026-05-08,Branch,Purchase
I151,C10689,2025-03-29,Email,Inquiry
I152,C10592,2026-07-18,Call,Complaint
I153,C10766,2025-06-09,Web,Purchase
I154,C10112,2025-01-20,Web,Support
I155,C10849,2025-08-31,Email,Purchase
I156,C10127,2025-12-12,Web,Complaint
I157,C10416,2026-03-20,Email,Complaint
I158,C10286,2026-06-29,Web,Support
I159,C10857,2026-08-17,Web,Support
I160,C10107,2025-08-30,Mobile,Purchase
I161,C10343,2026-06-07,Branch,Purchase
I162,C10486,2025-12-25,Branch,Support
I163,C10096,2025-02-22,Web,Purchase
I164,C10112,2025-12-02,Branch,Support
I165,C10584,2025-01-31,Branch,Login
I166,C10984,2025-12-04,Branch,Support
I167,C10872,2025-08-11,Web,Support
I168,C10734,2025-10-01,Branch,Purchase
I169,C10373,2026-07-01,Web,Complaint
I170,C10215,2025-07-05,Mobile,Support
I171,C10709,2025-02-11,Mobile,Purchase
I172,C10478,2025-07-26,Web,Inquiry
I173,C10954,2026-08-05,Call,Complaint
I174,C10208,2025-10-21,Branch,Purchase
I175,C10473,2026-08-06,Branch,Login
I176,C10996,2026-01-12,Web,Login
I177,C10204,2025-05-07,Mobile,Support
I178,C10708,2026-06-30,Web,Complaint
I179,C10135,2025-10-20,Mobile,Inquiry
I180,C10216,2026-01-04,Mobile,Complaint
I181,C10314,2026-08-15,Call,Purchase
I182,C10152,2026-06-20,Call,Inquiry
I183,C10288,2026-02-22,Call,Support
I184,C10842,2025-06-30,Mobile,Inquiry
I185,C10398,2025-01-11,Web,Login
I186,C10140,2026-03-22,Mobile,Complaint
I187,C10052,2025-07-09,Mobile,Login
I188,C10926,2025-05-19,Mobile,Support
I189,C10085,2026-05-24,Web,Purchase
I190,C10699,2025-11-21,Branch,Purchase
I191,C10662,2025-05-03,Web,Login
I192,C10129,2026-04-24,Branch,Purchase
I193,C10300,2025-01-31,Call,Purchase
I194,C10226,2026-07-05,Email,Login
I195,C10709,2026-06-16,Web,Support
I196,C10138,2026-05-16,Mobile,Purchase
I197,C10950,2025-01-22,Email,Login
I198,C10645,2025-08-19,Call,Complaint
I199,C10500,2025-03-16,Mobile,Login
I200,C10993,2026-01-22,Branch,Purchase
I201,C10666,2025-10-27,Email,Purchase
I202,C10510,2025-12-24,Branch,Inquiry
I203,C10173,2025-01-28,Branch,Inquiry
I204,C10558,2025-11-07,Mobile,Inquiry
I205,C10781,2026-03-16,Web,Purchase
I206,C10708,2025-08-27,Email,Complaint
I207,C10006,2026-07-12,Web,Purchase
I208,C10590,2026-04-04,Branch,Login
I209,C10618,2025-06-01,Branch,Inquiry
I210,C10019,2026-02-04,Mobile,Complaint
I211,C10792,2025-10-14,Mobile,Purchase
I212,C10459,2026-01-13,Mobile,Support
I213,C10605,2025-07-30,Email,Support
I214,C10300,2026-05-11,Branch,Inquiry
I215,C10688,2026-07-07,Branch,Support
I216,C10073,2025-05-13,Mobile,Support
I217,C10581,2026-04-05,Mobile,Purchase
I218,C10688,2025-08-13,Web,Complaint
I219,C10659,2025-06-08,Call,Login
I220,C10806,2025-01-19,Branch,Inquiry
I221,C10739,2025-12-30,Mobile,Complaint
I222,C10865,2026-01-16,Mobile,Purchase
I223,C10434,2025-04-21,Email,Support
I224,C10425,2025-08-13,Web,Complaint
I225,C10470,2026-03-08,Branch,Inquiry
I226,C10932,2025-03-30,Web,Complaint
I227,C10756,2025-11-21,Call,Login
I228,C10719,2025-04-03,Branch,Inquiry
I229,C10609,2025-06-27,Branch,Login
I230,C10481,2025-05-09,Mobile,Complaint
I231,C10754,2025-09-12,Email,Complaint
I232,C10916,2026-04-27,Call,Inquiry
I233,C10409,2025-08-16,Email,Inquiry
I234,C10838,2025-04-25,Email,Purchase
I235,C10428,2025-05-05,Call,Purchase
I236,C10121,2025-03-28,Web,Support
I237,C10125,2025-01-29,Email,Complaint
I238,C10000,2025-03-27,Web,Complaint
I239,C10974,2026-05-19,Branch,Login
I240,C10065,2026-02-01,Branch,Complaint
I241,C10226,2026-07-14,Mobile,Purchase
I242,C10584,2026-06-15,Web,Login
I243,C10593,2026-01-12,Branch,Purchase
I244,C10201,2025-04-07,Mobile,Support
I245,C10631,2026-01-22,Branch,Inquiry
I246,C10727,2026-02-09,Email,Purchase
I247,C10399,2026-05-28,Call,Support
I248,C10646,2025-06-19,Email,Complaint
I249,C10006,2025-12-05,Call,Support
I250,C10553,2026-06-06,Email,Inquiry
I251,C10999,2026-04-20,Email,Complaint
I252,C10961,2026-01-29,Web,Complaint
I253,C10687,2026-05-20,Branch,Support
I254,C10388,2026-01-17,Email,Inquiry
I255,C10874,2025-07-01,Web,Login
I256,C10545,2025-08-27,Email,Support
I257,C10811,2025-09-08,Branch,Inquiry
I258,C10521,2025-10-24,Web,Complaint
I259,C10965,2026-01-03,Mobile,Complaint
I260,C10661,2025-08-29,Email,Login
I261,C10367,2026-05-26,Branch,Complaint
I262,C10262,2025-02-23,Branch,Complaint
I263,C10535,2025-02-06,Call,Complaint
I264,C10237,2026-03-28,Call,Complaint
I265,C10198,2026-06-30,Branch,Purchase
I266,C10797,2026-07-29,Call,Complaint
I267,C10421,2025-04-14,Email,Support
I268,C10976,2026-05-08,Web,Purchase
I269,C10734,2025-10-15,Mobile,Purchase
I270,C10053,2026-03-18,Email,Login
I271,C10784,2026-05-07,Web,Login
I272,C10440,2026-05-14,Mobile,Inquiry
I273,C10409,2026-01-20,Email,Complaint
I274,C10946,2025-12-12,Mobile,Complaint
I275,C10417,2025-06-02,Branch,Complaint
I276,C10237,2025-04-17,Branch,Support
I277,C10877,2026-04-09,Email,Login
I278,C10985,2026-05-02,Branch,Support
I279,C10458,2025-05-27,Branch,Complaint
I280,C10861,2025-01-01,Branch,Support
I281,C10734,2026-02-04,Email,Inquiry
I282,C10187,2025-07-15,Call,Support
I283,C10441,2025-09-26,Email,Purchase
I284,C10741,2025-04-06,Branch,Purchase
I285,C10325,2025-09-20,Branch,Login
I286,C10615,2025-04-23,Email,Support
I287,C10306,2025-07-17,Branch,Login
I288,C10139,2025-04-21,Branch,Login
I289,C10324,2025-01-05,Mobile,Login
I290,C10353,2025-06-12,Mobile,Complaint
I291,C10971,2026-08-24,Call,Login
I292,C10174,2026-05-29,Mobile,Support
I293,C10283,2025-05-20,Web,Support
I294,C10263,2025-04-20,Call,Login
I295,C10474,2026-02-08,Email,Complaint
I296,C10654,2025-11-05,Mobile,Support
I297,C10205,2025-06-28,Mobile,Login
I298,C10047,2026-07-11,Email,Complaint
I299,C10355,2026-01-10,Call,Purchase
I300,C10439,2026-05-11,Mobile,Purchase
I301,C10107,2025-02-24,Call,Purchase
I302,C10129,2025-08-27,Email,Complaint
I303,C10669,2025-12-10,Call,Login
I304,C10517,2025-03-18,Mobile,Complaint
I305,C10327,2026-07-07,Web,Login
I306,C10437,2026-02-28,Web,Inquiry
I307,C10564,2025-04-25,Call,Inquiry
I308,C10094,2026-06-10,Email,Support
I309,C10110,2025-01-07,Web,Login
I310,C10757,2025-04-02,Email,Support
I311,C10724,2025-12-14,Mobile,Login
I312,C10513,2026-08-22,Branch,Purchase
I313,C10482,2025-10-03,Branch,Login
I314,C10978,2025-11-12,Mobile,Purchase
I315,C10716,2026-05-26,Call,Purchase
I316,C10251,2025-08-17,Email,Complaint
I317,C10768,2026-04-08,Mobile,Inquiry
I318,C10439,2025-01-02,Web,Complaint
I319,C10064,2026-06-30,Mobile,Complaint
I320,C10507,2026-03-27,Branch,Complaint
I321,C10403,2026-06-12,Branch,Inquiry
I322,C10619,2025-04-02,Email,Login
I323,C10899,2026-04-19,Mobile,Inquiry
I324,C10542,2025-04-28,Mobile,Inquiry
I325,C10147,2026-07-01,Web,Inquiry
I326,C10364,2025-02-10,Branch,Purchase
I327,C10099,2026-03-12,Web,Inquiry
I328,C10931,2025-02-04,Branch,Support
I329,C10513,2026-08-14,Call,Complaint
I330,C10435,2026-08-09,Email,Complaint
I331,C10732,2025-07-04,Call,Purchase
I332,C10767,2025-08-16,Call,Inquiry
I333,C10439,2026-01-25,Email,Login
I334,C10740,2026-08-14,Web,Inquiry
I335,C10967,2025-07-30,Email,Inquiry
I336,C10892,2025-04-12,Mobile,Complaint
I337,C10597,2025-04-05,Call,Support
I338,C10542,2025-02-23,Email,Login
I339,C10519,2025-12-02,Mobile,Purchase
I340,C10134,2026-07-01,Email,Purchase
I341,C10904,2025-03-17,Web,Purchase
I342,C10116,2025-01-09,Web,Purchase
I343,C10309,2026-08-09,Mobile,Purchase
I344,C10408,2025-10-25,Branch,Inquiry
I345,C10574,2026-04-06,Web,Purchase
I346,C10435,2026-06-24,Call,Inquiry
I347,C10967,2026-03-02,Web,Inquiry
I348,C10528,2025-08-02,Email,Support
I349,C10464,2026-05-26,Mobile,Complaint
I350,C10815,2026-03-17,Email,Inquiry
I351,C10761,2026-08-06,Call,Inquiry
I352,C10545,2025-03-01,Web,Complaint
I353,C10592,2026-05-28,Call,Support
I354,C10440,2026-06-16,Mobile,Inquiry
I355,C10539,2026-05-26,Email,Purchase
I356,C10022,2025-07-18,Mobile,Purchase
I357,C10122,2025-12-05,Mobile,Login
I358,C10733,2026-05-01,Email,Purchase
I359,C10867,2025-05-22,Email,Support
I360,C10420,2025-02-27,Branch,Purchase
I361,C10823,2026-08-18,Branch,Support
I362,C10895,2025-04-06,Mobile,Purchase
I363,C10490,2026-02-16,Email,Inquiry
I364,C10335,2025-10-02,Mobile,Support
I365,C10707,2026-01-11,Mobile,Login
I366,C10222,2025-06-04,Mobile,Support
I367,C10191,2025-11-11,Web,Support
I368,C10041,2025-01-25,Call,Login
I369,C10370,2026-04-14,Email,Inquiry
I370,C10619,2025-12-22,Branch,Complaint
I371,C10177,2025-02-04,Web,Purchase
I372,C10439,2025-08-18,Web,Purchase
I373,C10545,2026-08-20,Email,Login
I374,C10914,2025-11-11,Call,Complaint
I375,C10842,2025-11-28,Mobile,Complaint
I376,C10400,2025-02-28,Email,Complaint
I377,C10749,2025-09-23,Branch,Support
I378,C10224,2026-08-23,Mobile,Inquiry
I379,C10633,2025-12-06,Web,Complaint
I380,C10841,2026-08-02,Web,Support
I381,C10698,2026-04-27,Web,Login
I382,C10215,2026-08-05,Branch,Inquiry
I383,C10402,2026-04-15,Email,Inquiry
I384,C10640,2026-04-29,Call,Purchase
I385,C10676,2025-07-15,Web,Purchase
I386,C10531,2025-04-29,Branch,Inquiry
I387,C10756,2025-03-09,Mobile,Inquiry
I388,C10283,2026-02-15,Web,Login
I389,C10026,2026-08-30,Web,Login
I390,C10502,2025-08-21,Call,Login
I391,C10199,2026-03-11,Email,Login
I392,C10869,2025-11-29,Mobile,Login
I393,C10680,2025-04-04,Email,Purchase
I394,C10737,2025-05-07,Email,Support
I395,C10113,2025-07-27,Call,Login
I396,C10864,2025-11-27,Email,Support
I397,C10543,2025-06-25,Web,Login
I398,C10971,2025-12-25,Web,Purchase
I399,C10868,2025-04-07,Web,Inquiry
I400,C10009,2026-05-19,Call,Purchase
I401,C10479,2026-06-09,Web,Complaint
I402,C10024,2025-09-13,Call,Inquiry
I403,C10561,2025-03-09,Branch,Support
I404,C10907,2025-12-11,Call,Complaint
I405,C10553,2025-06-19,Web,Purchase
I406,C10372,2025-05-31,Call,Purchase
I407,C10345,2025-10-10,Email,Complaint
I408,C10175,2025-02-16,Web,Purchase
I409,C10267,2025-09-23,Web,Login
I410,C10964,2025-05-06,Email,Inquiry
I411,C10449,2026-04-02,Mobile,Support
I412,C10183,2026-05-14,Mobile,Complaint
I413,C10707,2025-09-23,Email,Complaint
I414,C10236,2026-03-21,Call,Complaint
I415,C10207,2025-07-05,Branch,Purchase
I416,C10974,2026-05-23,Branch,Complaint
I417,C10644,2025-03-14,Mobile,Support
I418,C10299,2026-08-21,Mobile,Login
I419,C10354,2026-02-02,Web,Support
I420,C10839,2026-06-05,Mobile,Login
I421,C10918,2025-10-25,Mobile,Complaint
I422,C10067,2025-07-30,Call,Support
I423,C10428,2025-09-09,Branch,Login
I424,C10077,2025-06-19,Branch,Login
I425,C10320,2025-07-26,Web,Login
I426,C10836,2025-05-18,Email,Complaint
I427,C10469,2025-11-30,Mobile,Complaint
I428,C10619,2026-01-09,Call,Support
I429,C10505,2025-08-29,Email,Inquiry
I430,C10132,2026-07-28,Call,Support
I431,C10531,2025-10-03,Email,Complaint
I432,C10815,2026-02-01,Mobile,Login
I433,C10261,2025-05-28,Call,Complaint
I434,C10954,2025-11-15,Email,Complaint
I435,C10625,2025-06-15,Email,Complaint
I436,C10426,2025-01-27,Web,Inquiry
I437,C10069,2026-08-29,Branch,Purchase
I438,C10866,2025-04-09,Web,Login
I439,C10358,2025-04-20,Web,Complaint
I440,C10081,2026-07-06,Email,Inquiry
I441,C10341,2026-01-06,Web,Login
I442,C10285,2025-09-01,Mobile,Login
I443,C10475,2026-08-13,Mobile,Inquiry
I444,C10827,2025-10-16,Web,Inquiry
I445,C10426,2025-04-12,Email,Support
I446,C10067,2025-03-07,Call,Support
I447,C10446,2026-05-03,Branch,Inquiry
I448,C10898,2025-11-17,Mobile,Purchase
I449,C10705,2025-01-30,Mobile,Complaint
I450,C10281,2025-05-25,Mobile,Login
I451,C10372,2025-02-16,Email,Complaint
I452,C10910,2025-01-10,Web,Inquiry
I453,C10319,2025-07-07,Call,Complaint
I454,C10171,2026-03-12,Mobile,Support
I455,C10205,2025-04-24,Email,Inquiry
I456,C10682,2026-04-27,Branch,Login
I457,C10139,2026-02-14,Email,Complaint
I458,C10119,2025-02-08,Branch,Purchase
I459,C10383,2026-08-10,Branch,Support
I460,C10212,2025-02-25,Web,Purchase
I461,C10459,2026-02-13,Email,Purchase
I462,C10555,2026-07-14,Branch,Support
I463,C10297,2025-12-31,Web,Complaint
I464,C10673,2025-06-01,Mobile,Inquiry
I465,C10128,2026-03-20,Branch,Complaint
I466,C10298,2025-07-18,Email,Complaint
I467,C10331,2026-03-08,Call,Support
I468,C10879,2025-07-06,Branch,Support
I469,C10967,2026-04-22,Email,Purchase
I470,C10824,2025-05-23,Email,Purchase
I471,C10413,2026-08-15,Call,Complaint
I472,C10423,2025-02-23,Email,Purchase
I473,C10581,2025-10-09,Web,Login
I474,C10794,2025-10-22,Branch,Inquiry
I475,C10734,2025-07-01,Call,Purchase
I476,C10707,2026-01-09,Web,Purchase
I477,C10925,2025-09-30,Call,Inquiry
I478,C10539,2025-06-19,Call,Purchase
I479,C10077,2025-07-22,Web,Inquiry
I480,C10029,2026-07-17,Email,Purchase
I481,C10055,2026-08-24,Mobile,Support
I482,C10822,2026-07-22,Email,Login
I483,C10832,2025-11-08,Call,Complaint
I484,C10753,2025-04-08,Mobile,Support
I485,C10700,2025-10-04,Mobile,Support
I486,C10518,2026-07-05,Email,Login
I487,C10784,2025-04-06,Call,Support
I488,C10982,2025-03-08,Branch,Purchase
I489,C10327,2026-02-28,Branch,Inquiry
I490,C10600,2025-08-19,Web,Complaint
I491,C10895,2026-01-19,Branch,Login
I492,C10892,2025-10-30,Web,Purchase
I493,C10865,2025-12-31,Branch,Inquiry
I494,C10862,2025-09-07,Email,Login
I495,C10561,2025-06-22,Email,Inquiry
I496,C10142,2025-06-15,Call,Login
I497,C10105,2026-01-05,Call,Support
I498,C10448,2025-06-02,Branch,Complaint
I499,C10599,2025-09-28,Call,Inquiry
I500,C10435,2025-11-27,Call,Complaint
I501,C10109,2025-09-03,Branch,Support
I502,C10888,2025-09-23,Web,Purchase
I503,C10404,2026-03-16,Branch,Complaint
I504,C10266,2025-10-11,Mobile,Complaint
I505,C10508,2025-05-24,Email,Support
I506,C10501,2025-06-20,Mobile,Support
I507,C10117,2025-04-18,Call,Purchase
I508,C10209,2025-06-11,Call,Inquiry
I509,C10959,2025-04-30,Call,Purchase
I510,C10926,2026-01-15,Email,Purchase
I511,C10862,2026-07-27,Branch,Inquiry
I512,C10994,2025-12-09,Email,Inquiry
I513,C10175,2025-02-23,Web,Login
I514,C10093,2025-05-14,Branch,Purchase
I515,C10400,2026-08-23,Mobile,Login
I516,C10188,2026-01-31,Mobile,Purchase
I517,C10636,2025-06-08,Call,Complaint
I518,C10640,2026-05-09,Web,Login
I519,C10092,2026-03-28,Call,Complaint
I520,C10050,2025-12-04,Mobile,Complaint
I521,C10131,2025-12-31,Call,Login
I522,C10551,2025-05-20,Email,Complaint
I523,C10907,2026-05-16,Call,Purchase
I524,C10177,2025-02-26,Mobile,Support
I525,C10432,2025-07-10,Mobile,Support
I526,C10163,2026-03-20,Web,Complaint
I527,C10067,2025-03-03,Mobile,Inquiry
I528,C10056,2025-06-07,Branch,Inquiry
I529,C10704,2025-02-23,Web,Login
I530,C10358,2026-03-20,Email,Inquiry
I531,C10889,2026-06-30,Mobile,Support
I532,C10827,2025-06-26,Mobile,Support
I533,C10844,2025-02-09,Web,Support
I534,C10653,2026-03-19,Email,Support
I535,C10457,2025-01-09,Email,Inquiry
I536,C10156,2025-09-01,Call,Inquiry
I537,C10919,2025-04-11,Mobile,Purchase
I538,C10865,2025-10-27,Web,Login
I539,C10157,2025-01-13,Email,Purchase
I540,C10798,2025-11-10,Mobile,Login
I541,C10742,2025-12-21,Branch,Support
I542,C10451,2025-11-27,Mobile,Complaint
I543,C10741,2026-07-17,Branch,Purchase
I544,C10256,2025-06-05,Email,Complaint
I545,C10963,2026-08-15,Web,Purchase
I546,C10816,2025-03-23,Email,Login
I547,C10292,2025-09-02,Mobile,Login
I548,C10881,2026-06-02,Call,Inquiry
I549,C10049,2025-03-31,Call,Complaint
I550,C10783,2026-01-12,Web,Inquiry
I551,C10472,2025-01-30,Call,Complaint
I552,C10280,2025-11-17,Mobile,Purchase
I553,C10381,2026-05-10,Call,Support
I554,C10885,2026-07-03,Call,Complaint
I555,C10382,2025-08-10,Mobile,Login
I556,C10729,2025-02-12,Mobile,Support
I557,C10995,2025-09-25,Call,Purchase
I558,C10770,2025-07-11,Mobile,Purchase
I559,C10863,2026-03-26,Branch,Support
I560,C10652,2025-02-08,Email,Login
I561,C10536,2025-06-04,Email,Login
I562,C10794,2025-11-11,Call,Login
I563,C10569,2025-09-07,Branch,Support
I564,C10173,2025-06-05,Branch,Complaint
I565,C10078,2025-06-30,Web,Inquiry
I566,C10927,2026-03-09,Email,Purchase
I567,C10895,2026-01-30,Web,Complaint
I568,C10934,2025-11-12,Branch,Complaint
I569,C10120,2025-08-25,Web,Complaint
I570,C10634,2026-03-31,Web,Inquiry
I571,C10717,2025-06-29,Call,Purchase
I572,C10769,2025-11-13,Web,Inquiry
I573,C10926,2025-02-08,Mobile,Purchase
I574,C10465,2026-06-08,Branch,Inquiry
I575,C10082,2026-07-06,Call,Inquiry
I576,C10459,2026-07-12,Call,Inquiry
I577,C10251,2026-02-28,Branch,Purchase
I578,C10103,2026-08-09,Branch,Inquiry
I579,C10984,2026-02-17,Mobile,Purchase
I580,C10749,2025-02-18,Email,Support
I581,C10674,2026-02-05,Web,Login
I582,C10727,2026-03-01,Call,Support
I583,C10823,2026-07-02,Mobile,Login
I584,C10394,2025-05-26,Web,Inquiry
I585,C10339,2025-01-03,Web,Support
I586,C10358,2025-05-07,Branch,Purchase
I587,C10330,2025-06-22,Call,Complaint
I588,C10397,2026-05-20,Branch,Login
I589,C10500,2026-04-14,Mobile,Complaint
I590,C10066,2025-09-03,Mobile,Complaint
I591,C10040,2026-07-07,Web,Login
I592,C10647,2026-03-14,Call,Inquiry
I593,C10978,2025-06-30,Mobile,Support
I594,C10745,2025-11-29,Mobile,Purchase
I595,C10029,2025-08-18,Branch,Support
I596,C10578,2025-12-27,Email,Login
I597,C10868,2025-02-08,Call,Inquiry
I598,C10526,2025-05-20,Mobile,Inquiry
I599,C10190,2025-09-04,Mobile,Support
I600,C10555,2026-05-19,Mobile,Support
I601,C10269,2025-04-12,Web,Complaint
I602,C10028,2026-04-21,Mobile,Support
I603,C10063,2026-08-14,Branch,Support
I604,C10429,2026-04-22,Call,Purchase
I605,C10091,2025-08-02,Call,Complaint
I606,C10321,2025-10-27,Call,Complaint
I607,C10055,2025-08-05,Mobile,Complaint
I608,C10299,2026-03-16,Call,Complaint
I609,C10559,2026-05-24,Web,Complaint
I610,C10795,2026-05-02,Branch,Support
I611,C10766,2025-07-28,Mobile,Complaint
I612,C10383,2025-08-29,Mobile,Inquiry
I613,C10175,2026-03-17,Call,Support
I614,C10719,2025-03-21,Branch,Purchase
I615,C10616,2025-11-07,Email,Login
I616,C10433,2026-01-29,Mobile,Login
I617,C10485,2025-02-07,Web,Login
I618,C10315,2025-08-24,Call,Complaint
I619,C10515,2025-06-06,Branch,Login
I620,C10638,2026-07-06,Web,Inquiry
I621,C10849,2026-02-22,Email,Complaint
I622,C10406,2026-05-11,Mobile,Login
I623,C10685,2025-12-25,Email,Inquiry
I624,C10750,2025-09-27,Call,Purchase
I625,C10322,2025-12-20,Email,Login
I626,C10406,2025-10-26,Mobile,Complaint
I627,C10098,2025-05-07,Branch,Login
I628,C10918,2025-10-29,Email,Purchase
I629,C10760,2026-07-08,Branch,Purchase
I630,C10685,2026-04-29,Mobile,Purchase
I631,C10936,2025-04-16,Branch,Complaint
I632,C10789,2025-12-19,Call,Complaint
