call_id,customer_id,call_date,transcript,sentiment
CALL57,C10733,2025-11-23,Customer is happy with the product.,Positive
CALL58,C10752,2026-06-26,Customer reported repeated unresolved issues.,Negative
CALL59,C10952,2026-06-12,Customer is happy with the product.,Positive
CALL60,C10684,2026-08-01,Customer contacted support for general information.,Neutral
CALL61,C10187,2026-08-13,Customer was satisfied with the service.,Positive
CALL62,C10889,2026-07-14,Customer contacted support for general information.,Neutral
CALL63,C10637,2025-01-23,Customer contacted support for general information.,Neutral
CALL64,C10619,2026-02-17,Customer reported repeated unresolved issues.,Negative
CALL65,C10339,2025-12-15,Customer complained about delayed service.,Negative
CALL66,C10129,2025-06-08,Customer complained about delayed service.,Negative
CALL67,C10374,2025-01-20,Customer contacted support for general information.,Neutral
CALL68,C10349,2025-10-23,Customer contacted support for general information.,Neutral
CALL69,C10011,2025-04-05,Customer appreciated the quick resolution.,Positive
CALL70,C10726,2026-07-24,Customer is happy with the product.,Positive
CALL71,C10063,2025-05-19,Customer appreciated the quick resolution.,Positive
CALL72,C10444,2025-04-07,Customer appreciated the quick resolution.,Positive
CALL73,C10931,2025-04-12,Customer contacted support for general information.,Neutral
CALL74,C10763,2025-10-15,Customer is happy with the product.,Positive
CALL75,C10987,2026-01-01,Customer appreciated the quick resolution.,Positive
CALL76,C10429,2025-04-18,Customer contacted support for general information.,Neutral
CALL77,C10691,2025-04-01,Customer expressed dissatisfaction with pricing.,Negative
CALL78,C10929,2026-01-24,Customer appreciated the quick resolution.,Positive
CALL79,C10551,2025-02-21,Customer reported repeated unresolved issues.,Negative
CALL80,C10778,2025-05-03,Customer reported repeated unresolved issues.,Negative
CALL81,C10678,2025-06-11,Customer said they may consider another provider.,Negative
CALL82,C10484,2025-11-07,Customer reported repeated unresolved issues.,Negative
CALL83,C10679,2025-06-12,Customer was satisfied with the service.,Positive
CALL84,C10642,2026-07-05,Customer contacted support for general information.,Neutral
CALL85,C10217,2026-01-07,Customer contacted support for general information.,Neutral
CALL86,C10812,2026-08-19,Customer contacted support for general information.,Neutral
CALL87,C10698,2026-01-14,Customer contacted support for general information.,Neutral
CALL88,C10531,2026-01-02,Customer said they may consider another provider.,Negative
CALL89,C10555,2026-08-10,Customer is happy with the product.,Positive
CALL90,C10963,2026-01-18,Customer contacted support for general information.,Neutral
CALL91,C10450,2026-03-18,Customer contacted support for general information.,Neutral
CALL92,C10329,2026-07-09,Customer is happy with the product.,Positive
CALL93,C10676,2025-02-16,Customer was satisfied with the service.,Positive
CALL94,C10400,2026-07-21,Customer was satisfied with the service.,Positive
CALL95,C10553,2026-04-18,Customer contacted support for general information.,Neutral
CALL96,C10454,2026-02-28,Customer contacted support for general information.,Neutral
CALL97,C10699,2025-01-26,Customer contacted support for general information.,Neutral
CALL98,C10682,2026-02-02,Customer appreciated the quick resolution.,Positive
CALL99,C10479,2025-08-13,Customer contacted support for general information.,Neutral
CALL100,C10564,2025-09-29,Customer reported repeated unresolved issues.,Negative
CALL101,C10385,2026-08-28,Customer contacted support for general information.,Neutral
CALL102,C10869,2025-03-19,Customer appreciated the quick resolution.,Positive
CALL103,C10468,2025-09-15,Customer expressed dissatisfaction with pricing.,Negative
CALL104,C10275,2026-01-24,Customer contacted support for general information.,Neutral
CALL105,C10081,2025-04-26,Customer appreciated the quick resolution.,Positive
CALL106,C10164,2025-06-17,Customer is happy with the product.,Positive
CALL107,C10542,2025-03-04,Customer contacted support for general information.,Neutral
CALL108,C10778,2026-08-16,Customer is happy with the product.,Positive
CALL109,C10320,2025-07-16,Customer is happy with the product.,Positive
CALL110,C10045,2025-09-04,Customer appreciated the quick resolution.,Positive
CALL111,C10148,2026-06-02,Customer was satisfied with the service.,Positive
CALL112,C10367,2025-10-25,Customer contacted support for general information.,Neutral
CALL113,C10978,2026-03-03,Customer was satisfied with the service.,Positive
CALL114,C10104,2025-04-12,Customer is happy with the product.,Positive
CALL115,C10656,2025-04-24,Customer said they may consider another provider.,Negative
CALL116,C10102,2026-05-24,Customer reported repeated unresolved issues.,Negative
CALL117,C10400,2025-08-02,Customer said they may consider another provider.,Negative
CALL118,C10065,2026-06-20,Customer contacted support for general information.,Neutral
CALL119,C10425,2025-10-02,Customer appreciated the quick resolution.,Positive
CALL120,C10467,2026-08-29,Customer appreciated the quick resolution.,Positive
CALL121,C10637,2026-05-16,Customer said they may consider another provider.,Negative
CALL122,C10278,2025-07-30,Customer reported repeated unresolved issues.,Negative
CALL123,C10484,2025-10-18,Customer contacted support for general information.,Neutral
CALL124,C10315,2025-10-29,Customer was satisfied with the service.,Positive
CALL125,C10664,2026-08-21,Customer complained about delayed service.,Negative
CALL126,C10226,2025-06-06,Customer complained about delayed service.,Negative
CALL127,C10231,2026-05-05,Customer appreciated the quick resolution.,Positive
CALL128,C10059,2025-08-18,Customer was satisfied with the service.,Positive
CALL129,C10915,2026-06-22,Customer reported repeated unresolved issues.,Negative
CALL130,C10372,2026-04-10,Customer was satisfied with the service.,Positive
CALL131,C10128,2025-12-21,Customer contacted support for general information.,Neutral
CALL132,C10317,2025-11-27,Customer contacted support for general information.,Neutral
CALL133,C10942,2026-05-24,Customer is happy with the product.,Positive
CALL134,C10659,2025-09-20,Customer contacted support for general information.,Neutral
CALL135,C10421,2025-02-21,Customer expressed dissatisfaction with pricing.,Negative
CALL136,C10583,2025-03-01,Customer contacted support for general information.,Neutral
CALL137,C10291,2026-04-08,Customer is happy with the product.,Positive
CALL138,C10512,2025-07-08,Customer reported repeated unresolved issues.,Negative
CALL139,C10584,2025-04-10,Customer is happy with the product.,Positive
CALL140,C10114,2025-01-02,Customer contacted support for general information.,Neutral
CALL141,C10161,2026-01-02,Customer complained about delayed service.,Negative
CALL142,C10681,2025-08-18,Customer contacted support for general information.,Neutral
CALL143,C10790,2026-08-10,Customer contacted support for general information.,Neutral
CALL144,C10778,2025-09-16,Customer contacted support for general information.,Neutral
CALL145,C10048,2025-09-25,Customer contacted support for general information.,Neutral
CALL146,C10250,2026-03-27,Customer is happy with the product.,Positive
CALL147,C10357,2025-10-29,Customer reported repeated unresolved issues.,Negative
CALL148,C10565,2026-06-09,Customer complained about delayed service.,Negative
CALL149,C10650,2026-06-18,Customer appreciated the quick resolution.,Positive
CALL150,C10468,2025-03-21,Customer contacted support for general information.,Neutral
CALL151,C10048,2025-04-03,Customer complained about delayed service.,Negative
CALL152,C10134,2026-03-17,Customer was satisfied with the service.,Positive
CALL153,C10043,2026-01-19,Customer contacted support for general information.,Neutral
CALL154,C10438,2026-03-18,Customer appreciated the quick resolution.,Positive
CALL155,C10603,2026-01-30,Customer said they may consider another provider.,Negative
CALL156,C10622,2026-06-20,Customer appreciated the quick resolution.,Positive
CALL157,C10776,2025-10-03,Customer was satisfied with the service.,Positive
CALL158,C10633,2025-01-11,Customer contacted support for general information.,Neutral
CALL159,C10942,2025-08-24,Customer was satisfied with the service.,Positive
CALL160,C10753,2026-04-27,Customer is happy with the product.,Positive
CALL161,C10033,2026-08-23,Customer contacted support for general information.,Neutral
CALL162,C10107,2026-03-04,Customer contacted support for general information.,Neutral
CALL163,C10763,2026-05-21,Customer is happy with the product.,Positive
CALL164,C10336,2026-06-26,Customer was satisfied with the service.,Positive
CALL165,C10314,2026-05-15,Customer contacted support for general information.,Neutral
CALL166,C10473,2026-05-08,Customer was satisfied with the service.,Positive
CALL167,C10698,2026-07-30,Customer reported repeated unresolved issues.,Negative
CALL168,C10230,2025-12-26,Customer contacted support for general information.,Neutral
CALL169,C10566,2025-03-31,Customer is happy with the product.,Positive
CALL170,C10265,2026-05-27,Customer complained about delayed service.,Negative
CALL171,C10021,2025-02-14,Customer appreciated the quick resolution.,Positive
CALL172,C10017,2026-01-30,Customer appreciated the quick resolution.,Positive
CALL173,C10858,2026-05-12,Customer contacted support for general information.,Neutral
CALL174,C10599,2025-12-02,Customer complained about delayed service.,Negative
CALL175,C10593,2026-02-22,Customer is happy with the product.,Positive
CALL176,C10392,2026-08-15,Customer reported repeated unresolved issues.,Negative
CALL177,C10941,2025-12-13,Customer contacted support for general information.,Neutral
CALL178,C10874,2026-04-12,Customer contacted support for general information.,Neutral
CALL179,C10549,2026-07-17,Customer appreciated the quick resolution.,Positive
CALL180,C10682,2025-04-24,Customer contacted support for general information.,Neutral
CALL181,C10258,2026-02-17,Customer is happy with the product.,Positive
CALL182,C10901,2025-04-05,Customer appreciated the quick resolution.,Positive
CALL183,C10760,2025-01-26,Customer was satisfied with the service.,Positive
CALL184,C10401,2026-04-18,Customer expressed dissatisfaction with pricing.,Negative
CALL185,C10446,2025-10-24,Customer contacted support for general information.,Neutral
CALL186,C10816,2026-06-16,Customer complained about delayed service.,Negative
CALL187,C10162,2025-07-24,Customer appreciated the quick resolution.,Positive
CALL188,C10562,2025-01-20,Customer reported repeated unresolved issues.,Negative
CALL189,C10069,2026-07-02,Customer is happy with the product.,Positive
CALL190,C10695,2026-01-26,Customer contacted support for general information.,Neutral
CALL191,C10246,2025-07-31,Customer contacted support for general information.,Neutral
CALL192,C10009,2026-08-05,Customer was satisfied with the service.,Positive
CALL193,C10218,2026-03-23,Customer is happy with the product.,Positive
CALL194,C10218,2026-07-04,Customer appreciated the quick resolution.,Positive
CALL195,C10090,2026-02-21,Customer is happy with the product.,Positive
CALL196,C10079,2026-05-10,Customer contacted support for general information.,Neutral
CALL197,C10862,2025-08-03,Customer is happy with the product.,Positive
CALL198,C10932,2025-08-26,Customer appreciated the quick resolution.,Positive
CALL199,C10885,2026-01-26,Customer appreciated the quick resolution.,Positive
CALL200,C10892,2025-07-18,Customer expressed dissatisfaction with pricing.,Negative
CALL201,C10353,2026-04-29,Customer appreciated the quick resolution.,Positive
CALL202,C10764,2025-07-10,Customer is happy with the product.,Positive
CALL203,C10252,2025-11-15,Customer complained about delayed service.,Negative
CALL204,C10042,2026-03-15,Customer complained about delayed service.,Negative
CALL205,C10974,2025-04-26,Customer contacted support for general information.,Neutral
CALL206,C10223,2026-02-03,Customer was satisfied with the service.,Positive
CALL207,C10264,2025-05-01,Customer complained about delayed service.,Negative
CALL208,C10662,2026-03-01,Customer contacted support for general information.,Neutral
CALL209,C10191,2026-05-13,Customer contacted support for general information.,Neutral
CALL210,C10222,2026-02-14,Customer contacted support for general information.,Neutral
CALL211,C10381,2025-03-29,Customer expressed dissatisfaction with pricing.,Negative
CALL212,C10909,2026-01-11,Customer was satisfied with the service.,Positive
CALL213,C10149,2026-02-02,Customer contacted support for general information.,Neutral
CALL214,C10237,2025-05-04,Customer is happy with the product.,Positive
CALL215,C10204,2025-07-13,Customer complained about delayed service.,Negative
CALL216,C10821,2025-11-11,Customer is happy with the product.,Positive
CALL217,C10860,2025-10-04,Customer is happy with the product.,Positive
CALL218,C10602,2026-08-11,Customer appreciated the quick resolution.,Positive
CALL219,C10690,2025-08-05,Customer was satisfied with the service.,Positive
CALL220,C10327,2025-08-19,Customer is happy with the product.,Positive
CALL221,C10855,2026-06-18,Customer expressed dissatisfaction with pricing.,Negative
CALL222,C10220,2026-02-09,Customer complained about delayed service.,Negative
CALL223,C10010,2026-08-21,Customer contacted support for general information.,Neutral
CALL224,C10000,2025-10-02,Customer expressed dissatisfaction with pricing.,Negative
CALL225,C10786,2025-05-30,Customer complained about delayed service.,Negative
CALL226,C10566,2025-08-24,Customer appreciated the quick resolution.,Positive
CALL227,C10364,2026-03-04,Customer reported repeated unresolved issues.,Negative
CALL228,C10332,2025-06-21,Customer contacted support for general information.,Neutral
CALL229,C10107,2025-02-24,Customer contacted support for general information.,Neutral
CALL230,C10360,2025-06-24,Customer was satisfied with the service.,Positive
CALL231,C10398,2025-03-21,Customer said they may consider another provider.,Negative
CALL232,C10905,2026-03-24,Customer expressed dissatisfaction with pricing.,Negative
CALL233,C10275,2025-07-10,Customer complained about delayed service.,Negative
CALL234,C10369,2026-07-09,Customer appreciated the quick resolution.,Positive
CALL235,C10548,2025-05-07,Customer contacted support for general information.,Neutral
CALL236,C10229,2026-07-05,Customer appreciated the quick resolution.,Positive
CALL237,C10201,2026-02-13,Customer contacted support for general information.,Neutral
CALL238,C10462,2025-03-23,Customer contacted support for general information.,Neutral
CALL239,C10249,2025-04-18,Customer is happy with the product.,Positive
CALL240,C10182,2026-06-29,Customer is happy with the product.,Positive
CALL241,C10628,2025-11-11,Customer reported repeated unresolved issues.,Negative
CALL242,C10269,2025-07-09,Customer contacted support for general information.,Neutral
CALL243,C10175,2025-07-29,Customer expressed dissatisfaction with pricing.,Negative
CALL244,C10585,2026-06-18,Customer contacted support for general information.,Neutral
CALL245,C10221,2026-02-02,Customer contacted support for general information.,Neutral
CALL246,C10738,2026-02-02,Customer complained about delayed service.,Negative
CALL247,C10477,2026-01-09,Customer contacted support for general information.,Neutral
CALL248,C10916,2025-07-08,Customer was satisfied with the service.,Positive
CALL249,C10797,2026-06-30,Customer appreciated the quick resolution.,Positive
CALL250,C10700,2026-02-09,Customer appreciated the quick resolution.,Positive
CALL251,C10473,2026-02-12,Customer was satisfied with the service.,Positive
CALL252,C10934,2025-12-27,Customer said they may consider another provider.,Negative
CALL253,C10877,2026-04-13,Customer is happy with the product.,Positive
CALL254,C10874,2025-08-15,Customer was satisfied with the service.,Positive
CALL255,C10255,2025-10-07,Customer is happy with the product.,Positive
CALL256,C10053,2025-04-11,Customer expressed dissatisfaction with pricing.,Negative
CALL257,C10620,2025-02-21,Customer contacted support for general information.,Neutral
CALL258,C10791,2026-05-24,Customer contacted support for general information.,Neutral
CALL259,C10304,2025-12-04,Customer was satisfied with the service.,Positive
CALL260,C10937,2025-07-12,Customer said they may consider another provider.,Negative
CALL261,C10662,2025-06-10,Customer contacted support for general information.,Neutral
CALL262,C10782,2026-06-14,Customer complained about delayed service.,Negative
CALL263,C10376,2025-06-03,Customer is happy with the product.,Positive
CALL264,C10740,2025-09-23,Customer contacted support for general information.,Neutral
CALL265,C10828,2025-04-19,Customer appreciated the quick resolution.,Positive
CALL266,C10058,2025-12-06,Customer expressed dissatisfaction with pricing.,Negative
CALL267,C10871,2025-10-08,Customer said they may consider another provider.,Negative
CALL268,C10866,2025-09-16,Customer was satisfied with the service.,Positive
CALL269,C10029,2025-05-06,Customer contacted support for general information.,Neutral
CALL270,C10140,2026-03-02,Customer said they may consider another provider.,Negative
CALL271,C10654,2026-07-11,Customer appreciated the quick resolution.,Positive
CALL272,C10021,2026-04-09,Customer expressed dissatisfaction with pricing.,Negative
CALL273,C10829,2025-07-31,Customer expressed dissatisfaction with pricing.,Negative
CALL274,C10781,2025-10-07,Customer appreciated the quick resolution.,Positive
CALL275,C10818,2026-04-30,Customer reported repeated unresolved issues.,Negative
CALL276,C10899,2026-02-28,Customer was satisfied with the service.,Positive
CALL277,C10725,2026-04-10,Customer was satisfied with the service.,Positive
CALL278,C10955,2025-02-26,Customer contacted support for general information.,Neutral
CALL279,C10567,2026-04-29,Customer appreciated the quick resolution.,Positive
CALL280,C10254,2026-01-25,Customer was satisfied with the service.,Positive
CALL281,C10088,2025-09-23,Customer is happy with the product.,Positive
CALL282,C10309,2025-05-14,Customer contacted support for general information.,Neutral
CALL283,C10307,2025-03-12,Customer contacted support for general information.,Neutral
CALL284,C10215,2025-02-25,Customer was satisfied with the service.,Positive
CALL285,C10553,2026-04-01,Customer contacted support for general information.,Neutral
CALL286,C10809,2025-12-29,Customer said they may consider another provider.,Negative
CALL287,C10075,2025-10-23,Customer contacted support for general information.,Neutral
CALL288,C10795,2026-04-16,Customer was satisfied with the service.,Positive
CALL289,C10775,2026-02-15,Customer was satisfied with the service.,Positive
CALL290,C10527,2025-02-03,Customer complained about delayed service.,Negative
CALL291,C10880,2025-12-31,Customer appreciated the quick resolution.,Positive
CALL292,C10366,2025-04-02,Customer reported repeated unresolved issues.,Negative
CALL293,C10258,2026-05-30,Customer was satisfied with the service.,Positive
CALL294,C10159,2025-01-13,Customer contacted support for general information.,Neutral
CALL295,C10486,2025-08-02,Customer contacted support for general information.,Neutral
CALL296,C10584,2026-08-18,Customer contacted support for general information.,Neutral
CALL297,C10994,2025-08-23,Customer was satisfied with the service.,Positive
CALL298,C10338,2025-10-15,Customer contacted support for general information.,Neutral
CALL299,C10946,2026-04-24,Customer is happy with the product.,Positive
CALL300,C10840,2026-02-14,Customer was satisfied with the service.,Positive
CALL301,C10999,2025-01-12,Customer complained about delayed service.,Negative
CALL302,C10981,2026-08-19,Customer contacted support for general information.,Neutral
CALL303,C10280,2025-06-25,Customer expressed dissatisfaction with pricing.,Negative
CALL304,C10365,2025-07-24,Customer contacted support for general information.,Neutral
CALL305,C10461,2026-03-14,Customer complained about delayed service.,Negative
CALL306,C10707,2025-01-08,Customer was satisfied with the service.,Positive
CALL307,C10929,2026-04-08,Customer is happy with the product.,Positive
CALL308,C10673,2026-07-11,Customer reported repeated unresolved issues.,Negative
CALL309,C10577,2025-09-10,Customer appreciated the quick resolution.,Positive
CALL310,C10148,2026-05-31,Customer was satisfied with the service.,Positive
CALL311,C10653,2026-05-12,Customer contacted support for general information.,Neutral
CALL312,C10051,2026-04-23,Customer said they may consider another provider.,Negative
CALL313,C10426,2025-08-30,Customer contacted support for general information.,Neutral
CALL314,C10137,2026-02-19,Customer was satisfied with the service.,Positive
CALL315,C10217,2025-04-11,Customer was satisfied with the service.,Positive
CALL316,C10402,2025-11-30,Customer contacted support for general information.,Neutral
CALL317,C10660,2026-02-27,Customer appreciated the quick resolution.,Positive
CALL318,C10683,2026-03-24,Customer contacted support for general information.,Neutral
CALL319,C10277,2026-01-13,Customer contacted support for general information.,Neutral
CALL320,C10627,2026-06-30,Customer contacted support for general information.,Neutral
CALL321,C10130,2025-03-28,Customer expressed dissatisfaction with pricing.,Negative
CALL322,C10525,2026-08-28,Customer contacted support for general information.,Neutral
CALL323,C10285,2025-05-19,Customer contacted support for general information.,Neutral
CALL324,C10732,2026-02-25,Customer expressed dissatisfaction with pricing.,Negative
CALL325,C10365,2025-08-12,Customer contacted support for general information.,Neutral
CALL326,C10107,2025-09-23,Customer expressed dissatisfaction with pricing.,Negative
CALL327,C10340,2026-08-23,Customer complained about delayed service.,Negative
CALL328,C10250,2026-03-27,Customer expressed dissatisfaction with pricing.,Negative
CALL329,C10585,2026-02-05,Customer was satisfied with the service.,Positive
CALL330,C10076,2025-08-14,Customer expressed dissatisfaction with pricing.,Negative
CALL331,C10877,2026-05-03,Customer complained about delayed service.,Negative
CALL332,C10243,2025-09-25,Customer was satisfied with the service.,Positive
CALL333,C10640,2026-03-18,Customer expressed dissatisfaction with pricing.,Negative
CALL334,C10009,2025-01-30,Customer was satisfied with the service.,Positive
CALL335,C10644,2025-12-09,Customer contacted support for general information.,Neutral
CALL336,C10384,2026-06-14,Customer appreciated the quick resolution.,Positive
CALL337,C10514,2025-11-07,Customer reported repeated unresolved issues.,Negative
CALL338,C10974,2026-07-13,Customer expressed dissatisfaction with pricing.,Negative
CALL339,C10981,2025-05-17,Customer reported repeated unresolved issues.,Negative
CALL340,C10228,2025-05-13,Customer reported repeated unresolved issues.,Negative
CALL341,C10861,2026-05-27,Customer expressed dissatisfaction with pricing.,Negative
CALL342,C10336,2026-08-08,Customer complained about delayed service.,Negative
CALL343,C10607,2026-07-14,Customer appreciated the quick resolution.,Positive
CALL344,C10214,2026-08-30,Customer contacted support for general information.,Neutral
CALL345,C10848,2025-08-05,Customer complained about delayed service.,Negative
CALL346,C10377,2026-05-31,Customer appreciated the quick resolution.,Positive
CALL347,C10280,2025-11-28,Customer complained about delayed service.,Negative
CALL348,C10377,2025-05-14,Customer appreciated the quick resolution.,Positive
CALL349,C10994,2026-06-02,Customer reported repeated unresolved issues.,Negative
CALL350,C10701,2025-03-21,Customer contacted support for general information.,Neutral
CALL351,C10843,2026-07-04,Customer said they may consider another provider.,Negative
CALL352,C10640,2026-01-31,Customer appreciated the quick resolution.,Positive
CALL353,C10916,2026-06-08,Customer contacted support for general information.,Neutral
CALL354,C10571,2025-01-31,Customer appreciated the quick resolution.,Positive
CALL355,C10867,2025-02-11,Customer contacted support for general information.,Neutral
CALL356,C10872,2025-10-27,Customer said they may consider another provider.,Negative
CALL357,C10892,2026-05-31,Customer contacted support for general information.,Neutral
CALL358,C10482,2026-03-07,Customer contacted support for general information.,Neutral
CALL359,C10662,2026-03-12,Customer complained about delayed service.,Negative
CALL360,C10804,2025-02-01,Customer is happy with the product.,Positive
CALL361,C10529,2025-08-20,Customer is happy with the product.,Positive
CALL362,C10022,2025-01-11,Customer was satisfied with the service.,Positive
CALL363,C10943,2026-07-21,Customer expressed dissatisfaction with pricing.,Negative
CALL364,C10855,2025-01-02,Customer appreciated the quick resolution.,Positive
CALL365,C10763,2025-09-13,Customer contacted support for general information.,Neutral
CALL366,C10548,2026-05-12,Customer appreciated the quick resolution.,Positive
CALL367,C10780,2026-02-22,Customer is happy with the product.,Positive
CALL368,C10096,2025-02-07,Customer was satisfied with the service.,Positive
CALL369,C10051,2025-06-08,Customer contacted support for general information.,Neutral
CALL370,C10149,2025-08-31,Customer expressed dissatisfaction with pricing.,Negative
CALL371,C10865,2026-04-01,Customer appreciated the quick resolution.,Positive
CALL372,C10545,2025-08-02,Customer is happy with the product.,Positive
CALL373,C10871,2025-07-12,Customer was satisfied with the service.,Positive
CALL374,C10316,2026-02-16,Customer appreciated the quick resolution.,Positive
CALL375,C10280,2025-08-15,Customer contacted support for general information.,Neutral
CALL376,C10418,2025-11-13,Customer appreciated the quick resolution.,Positive
CALL377,C10803,2026-05-03,Customer contacted support for general information.,Neutral
CALL378,C10971,2026-01-10,Customer said they may consider another provider.,Negative
CALL379,C10669,2026-03-17,Customer contacted support for general information.,Neutral
CALL380,C10361,2025-10-01,Customer contacted support for general information.,Neutral
CALL381,C10964,2025-09-16,Customer contacted support for general information.,Neutral
CALL382,C10972,2026-03-13,Customer appreciated the quick resolution.,Positive
CALL383,C10698,2025-06-12,Customer reported repeated unresolved issues.,Negative
CALL384,C10211,2025-10-26,Customer was satisfied with the service.,Positive
CALL385,C10450,2026-06-02,Customer said they may consider another provider.,Negative
CALL386,C10876,2025-10-03,Customer said they may consider another provider.,Negative
CALL387,C10565,2026-04-07,Customer appreciated the quick resolution.,Positive
CALL388,C10744,2025-09-16,Customer was satisfied with the service.,Positive
CALL389,C10184,2026-03-31,Customer contacted support for general information.,Neutral
CALL390,C10857,2025-07-14,Customer is happy with the product.,Positive
CALL391,C10303,2025-11-16,Customer is happy with the product.,Positive
CALL392,C10259,2025-09-16,Customer was satisfied with the service.,Positive
CALL393,C10672,2025-08-19,Customer contacted support for general information.,Neutral
CALL394,C10694,2025-09-24,Customer is happy with the product.,Positive
CALL395,C10240,2025-11-15,Customer expressed dissatisfaction with pricing.,Negative
CALL396,C10997,2026-06-02,Customer is happy with the product.,Positive
CALL397,C10814,2026-07-08,Customer is happy with the product.,Positive
CALL398,C10149,2025-02-20,Customer said they may consider another provider.,Negative
CALL399,C10410,2025-12-27,Customer was satisfied with the service.,Positive
CALL400,C10021,2025-02-14,Customer complained about delayed service.,Negative
CALL401,C10471,2026-05-26,Customer contacted support for general information.,Neutral
CALL402,C10784,2025-09-21,Customer appreciated the quick resolution.,Positive
CALL403,C10987,2025-11-13,Customer expressed dissatisfaction with pricing.,Negative
CALL404,C10863,2025-06-24,Customer was satisfied with the service.,Positive
CALL405,C10342,2026-08-24,Customer was satisfied with the service.,Positive
CALL406,C10414,2026-08-02,Customer was satisfied with the service.,Positive
CALL407,C10490,2025-02-06,Customer expressed dissatisfaction with pricing.,Negative
CALL408,C10444,2026-08-08,Customer contacted support for general information.,Neutral
CALL409,C10159,2025-04-20,Customer was satisfied with the service.,Positive
CALL410,C10296,2025-12-26,Customer is happy with the product.,Positive
CALL411,C10209,2026-08-09,Customer contacted support for general information.,Neutral
CALL412,C10855,2026-05-14,Customer said they may consider another provider.,Negative
CALL413,C10456,2025-12-01,Customer is happy with the product.,Positive
CALL414,C10753,2025-12-03,Customer was satisfied with the service.,Positive
CALL415,C10210,2026-01-19,Customer appreciated the quick resolution.,Positive
