customer_id,name,age,region,segment,income,tenure_months,churned,transaction_count,total_transaction_amount,avg_transaction_amount,complaint_count,avg_resolution_days,high_severity_complaints,open_complaints,call_count,positive_calls,negative_calls,total_products,active_products,closed_products,total_interactions,support_interactions,complaint_interactions,negative_call_rate,positive_call_rate,open_complaint_rate,closed_product_rate,support_interaction_rate,churn_probability
C10010,Customer_11,31,West,Business,202912,43,1,47,104288.23999999999,2218.898723404255,2.0,12.5,0.0,1.0,7.0,2.0,2.0,2.0,2.0,0.0,11,0,2,0.2857142857142857,0.2857142857142857,0.5,0.0,0.0,0.16785714285714284
C10011,Customer_12,44,South,Premium,200767,51,0,49,108587.92,2216.08,4.0,17.5,0.0,1.0,5.0,1.0,1.0,2.0,2.0,0.0,6,2,2,0.2,0.2,0.25,0.0,0.3333333333333333,0.15600000000000003
C10012,Customer_13,56,West,Standard,109754,93,0,57,106521.53,1868.7987719298246,3.0,21.666666666666668,0.0,2.0,8.0,4.0,1.0,2.0,0.0,1.0,11,1,3,0.125,0.5,0.6666666666666666,0.5,0.09090909090909091,0.22999999999999998
C10013,Customer_14,60,West,Standard,102988,51,0,60,98910.51,1648.5085,1.0,5.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,9,3,3,0.3333333333333333,0.0,0.0,0.5,0.3333333333333333,0.12666666666666668
C10014,Customer_15,44,East,Standard,214414,78,0,37,62774.9,1696.618918918919,2.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,9,2,2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2222222222222222,0.09666666666666668
C10015,Customer_16,23,West,Premium,175023,73,0,66,113579.82,1720.9063636363637,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,8,1,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.125,0.06666666666666667
C10016,Customer_17,42,North,Premium,157379,5,0,59,108298.52,1835.5681355932204,1.0,21.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,17,2,4,0.3333333333333333,0.16666666666666666,0.0,0.0,0.11764705882352941,0.10166666666666668
C10017,Customer_18,22,East,Business,105388,12,0,57,70046.49,1228.8857894736843,1.0,13.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,14,2,3,0.25,0.25,0.0,0.0,0.14285714285714285,0.07500000000000001
C10018,Customer_19,44,North,Standard,115768,100,0,59,116054.74,1967.0294915254237,5.0,24.8,0.0,0.0,6.0,0.0,3.0,1.0,1.0,0.0,9,2,2,0.5,0.0,0.0,0.0,0.2222222222222222,0.195
C10019,Customer_20,64,South,Business,60428,91,0,37,51095.770000000004,1380.966756756757,2.0,11.5,0.0,1.0,6.0,3.0,1.0,3.0,2.0,1.0,12,2,4,0.16666666666666666,0.5,0.5,0.3333333333333333,0.16666666666666666,0.175
C10020,Customer_21,50,East,Premium,117021,37,0,63,103239.5,1638.7222222222222,5.0,15.4,0.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,10,2,3,0.5,0.0,0.4,0.0,0.2,0.24900000000000003
C10021,Customer_22,58,South,Standard,143418,82,0,44,57624.85,1309.6556818181818,1.0,26.0,0.0,0.0,10.0,4.0,2.0,1.0,1.0,0.0,11,2,2,0.2,0.4,0.0,0.0,0.18181818181818182,0.09100000000000001
C10022,Customer_23,22,East,Premium,231846,4,0,55,109429.61,1989.6292727272728,3.0,11.666666666666666,1.0,1.0,7.0,4.0,1.0,1.0,1.0,0.0,18,4,3,0.14285714285714285,0.5714285714285714,0.3333333333333333,0.0,0.2222222222222222,0.14142857142857143
C10023,Customer_24,41,Central,Standard,195047,26,0,56,95847.49,1711.5623214285715,8.0,22.5,4.0,2.0,2.0,1.0,0.0,4.0,4.0,0.0,3,1,1,0.0,0.5,0.25,0.0,0.3333333333333333,0.255
C10024,Customer_25,53,West,Standard,157212,76,0,50,94198.24,1883.9648000000002,4.0,17.75,0.0,0.0,9.0,2.0,2.0,2.0,1.0,0.0,11,3,2,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2727272727272727,0.13777777777777778
C10025,Customer_26,32,Central,Premium,180914,40,0,55,122801.62,2232.7567272727274,1.0,2.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,11,3,3,0.25,0.25,0.0,0.5,0.2727272727272727,0.12000000000000002
C10026,Customer_27,42,South,Standard,51421,24,0,60,95739.31,1595.6551666666667,2.0,16.5,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,17,5,3,0.3333333333333333,0.3333333333333333,0.0,1.0,0.29411764705882354,0.16666666666666669
C10027,Customer_28,64,West,Premium,26708,28,0,52,67664.56,1301.2415384615383,6.0,13.666666666666666,1.0,2.0,8.0,1.0,3.0,1.0,1.0,0.0,8,2,3,0.375,0.125,0.3333333333333333,0.0,0.25,0.27
C10028,Customer_29,45,East,Premium,159702,45,0,45,85542.91,1900.9535555555556,2.0,16.5,0.0,1.0,6.0,3.0,1.0,2.0,2.0,0.0,10,2,2,0.16666666666666666,0.5,0.5,0.0,0.2,0.13833333333333334
C10029,Customer_30,69,West,Standard,175667,57,1,58,101969.65,1758.0974137931034,2.0,25.5,0.0,2.0,8.0,4.0,1.0,1.0,1.0,0.0,12,2,2,0.125,0.5,1.0,0.0,0.16666666666666666,0.19
C10030,Customer_31,47,North,Standard,101021,41,0,63,88223.51,1400.3731746031744,1.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,7,1,0,0.5,0.0,0.0,0.0,0.14285714285714285,0.095
C10031,Customer_32,62,West,Standard,184380,93,1,60,143106.43,2385.1071666666667,1.0,4.0,0.0,0.0,4.0,1.0,3.0,3.0,1.0,1.0,4,1,1,0.75,0.25,0.0,0.3333333333333333,0.25,0.24166666666666664
C10032,Customer_33,48,North,Standard,69789,31,1,43,67275.16,1564.5386046511628,1.0,7.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,8,3,1,0.2,0.4,0.0,0.0,0.375,0.07100000000000001
C10033,Customer_34,36,West,Standard,211762,113,0,46,98311.52,2137.2069565217394,1.0,30.0,0.0,0.0,6.0,1.0,2.0,2.0,2.0,0.0,10,1,4,0.3333333333333333,0.16666666666666666,0.0,0.0,0.1,0.10166666666666668
C10034,Customer_35,35,North,Standard,51086,104,0,50,78213.63,1564.2726,1.0,7.0,0.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0,15,4,3,0.25,0.75,1.0,0.0,0.26666666666666666,0.16
C10035,Customer_36,67,South,Standard,41859,22,0,51,73533.96,1441.8423529411766,2.0,21.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0,12,1,3,0.75,0.25,0.0,1.0,0.08333333333333333,0.24
C10036,Customer_37,64,Central,Standard,32684,93,0,48,62775.7,1307.8270833333333,4.0,17.75,2.0,0.0,5.0,2.0,1.0,2.0,1.0,1.0,14,5,3,0.2,0.4,0.0,0.5,0.35714285714285715,0.161
C10037,Customer_38,23,East,Standard,116088,43,0,52,99074.94,1905.2873076923076,1.0,16.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,14,4,2,0.25,0.5,0.0,0.0,0.2857142857142857,0.07500000000000001
C10038,Customer_39,57,West,Premium,157279,56,0,45,97068.27,2157.072666666667,5.0,17.6,0.0,2.0,6.0,2.0,3.0,2.0,0.0,1.0,10,2,1,0.5,0.3333333333333333,0.4,0.5,0.2,0.31400000000000006
C10039,Customer_40,27,Central,Premium,71099,22,0,42,92273.79,2196.995,0.0,0.0,0.0,0.0,5.0,4.0,1.0,4.0,3.0,0.0,12,1,3,0.2,0.8,0.0,0.0,0.08333333333333333,0.056
C10040,Customer_41,41,East,Standard,223568,110,1,33,54116.94,1639.9072727272728,4.0,13.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,14,5,0,0.3333333333333333,0.6666666666666666,0.25,0.0,0.35714285714285715,0.16666666666666669
C10041,Customer_42,29,East,Standard,91093,21,0,61,112002.33,1836.1037704918033,4.0,7.0,0.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,8,1,1,0.25,0.25,0.0,0.0,0.125,0.12000000000000001
C10042,Customer_43,59,North,Business,185761,86,1,53,86952.45,1640.6122641509432,2.0,15.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,0.0,7,2,2,0.8,0.2,0.0,0.0,0.2857142857142857,0.194
C10043,Customer_44,38,South,Premium,73651,101,0,55,93167.02,1693.9458181818184,6.0,13.833333333333334,0.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,11,3,3,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.2727272727272727,0.19166666666666668
C10044,Customer_45,24,South,Business,38893,113,0,35,59173.91,1690.683142857143,4.0,20.25,1.0,0.0,5.0,4.0,0.0,1.0,0.0,1.0,12,4,1,0.0,0.8,0.0,1.0,0.3333333333333333,0.15000000000000002
C10045,Customer_46,45,Central,Premium,91418,68,0,54,98442.01,1823.000185185185,7.0,10.428571428571429,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,4,0,1,0.0,1.0,0.14285714285714285,0.0,0.0,0.20857142857142857
C10046,Customer_47,34,South,Standard,150074,32,0,54,83970.56,1555.0103703703703,5.0,13.2,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,10,4,3,0.0,0.6666666666666666,0.0,1.0,0.4,0.165
C10047,Customer_48,70,West,Standard,128065,55,0,40,53001.54,1325.0385,3.0,16.0,0.0,0.0,6.0,3.0,1.0,1.0,1.0,0.0,4,2,1,0.16666666666666666,0.5,0.0,0.0,0.5,0.14833333333333334
C10048,Customer_49,29,South,Standard,155351,36,0,54,111809.08,2070.5385185185187,3.0,19.0,0.0,3.0,7.0,2.0,1.0,2.0,2.0,0.0,5,0,1,0.14285714285714285,0.2857142857142857,1.0,0.0,0.0,0.23142857142857143
C10049,Customer_50,46,Central,Standard,216083,24,1,38,81877.67,2154.6755263157893,4.0,20.75,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,13,2,1,0.25,0.5,0.5,0.5,0.15384615384615385,0.245
C10050,Customer_51,22,South,Standard,63635,69,0,49,104989.35,2142.6397959183673,5.0,7.4,0.0,1.0,4.0,1.0,3.0,3.0,3.0,0.0,13,2,5,0.75,0.25,0.2,0.0,0.15384615384615385,0.252
C10051,Customer_52,40,West,Standard,212187,8,0,68,106881.42,1571.7855882352942,6.0,14.666666666666666,2.0,1.0,9.0,5.0,1.0,1.0,1.0,0.0,9,1,1,0.1111111111111111,0.5555555555555556,0.16666666666666666,0.0,0.1111111111111111,0.1738888888888889
C10052,Customer_53,48,North,Standard,120071,81,0,52,116864.03,2247.3851923076923,1.0,8.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,7,1,1,0.0,1.0,0.0,0.0,0.14285714285714285,0.035
C10053,Customer_54,67,Central,Premium,234477,29,0,42,79247.41,1886.8430952380954,1.0,27.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,14,2,3,0.6,0.4,0.0,0.0,0.14285714285714285,0.14300000000000002
C10054,Customer_55,27,North,Premium,228774,12,0,55,111249.24,2022.7134545454546,5.0,14.4,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,10,1,0,1.0,0.0,0.8,0.0,0.1,0.343
C10055,Customer_56,64,North,Standard,103518,75,0,46,65428.19,1422.351956521739,1.0,5.0,0.0,0.0,7.0,2.0,3.0,2.0,2.0,0.0,12,3,5,0.42857142857142855,0.2857142857142857,0.0,0.0,0.25,0.12928571428571428
C10056,Customer_57,28,North,Premium,131233,99,0,56,102894.5,1837.4017857142858,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,7,0,4,0.0,0.5,0.0,0.0,0.0,0.035
C10057,Customer_58,67,East,Standard,128651,98,0,46,83016.1,1804.6978260869566,4.0,12.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,7,3,1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.42857142857142855,0.17333333333333334
C10058,Customer_59,55,East,Premium,97805,50,1,49,100132.81999999999,2043.52693877551,3.0,10.0,0.0,1.0,8.0,2.0,4.0,2.0,1.0,1.0,13,2,1,0.5,0.25,0.3333333333333333,0.5,0.15384615384615385,0.275
C10059,Customer_60,34,North,Standard,215026,72,0,47,75935.29,1615.6444680851062,2.0,18.0,0.0,0.0,5.0,2.0,2.0,2.0,1.0,1.0,6,2,1,0.4,0.4,0.0,0.5,0.3333333333333333,0.16699999999999998
C10060,Customer_61,37,Central,Business,184136,107,0,40,81899.4,2047.485,3.0,19.666666666666668,0.0,2.0,9.0,7.0,0.0,1.0,1.0,0.0,12,2,2,0.0,0.7777777777777778,0.6666666666666666,0.0,0.16666666666666666,0.155
C10061,Customer_62,56,West,Premium,147813,61,0,49,104214.0,2126.816326530612,3.0,13.0,0.0,1.0,6.0,3.0,2.0,3.0,3.0,0.0,9,2,1,0.3333333333333333,0.5,0.3333333333333333,0.0,0.2222222222222222,0.17666666666666667
C10062,Customer_63,70,West,Standard,104063,102,0,47,65791.78,1399.8251063829787,8.0,11.125,4.0,1.0,8.0,3.0,5.0,3.0,0.0,1.0,5,1,1,0.625,0.375,0.125,0.3333333333333333,0.2,0.3591666666666667
C10063,Customer_64,60,South,Standard,27454,61,0,37,58123.58,1570.9075675675676,2.0,10.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,10,5,3,0.25,0.5,0.0,0.0,0.5,0.09000000000000001
C10064,Customer_65,24,Central,Standard,45878,4,0,49,90585.78,1848.689387755102,3.0,17.333333333333332,0.0,0.0,7.0,3.0,4.0,1.0,1.0,0.0,11,2,2,0.5714285714285714,0.42857142857142855,0.0,0.0,0.18181818181818182,0.19071428571428573
C10065,Customer_66,22,East,Standard,207170,31,0,60,115935.22,1932.2536666666667,2.0,11.5,0.0,0.0,7.0,2.0,3.0,1.0,1.0,0.0,6,0,3,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.1442857142857143
C10066,Customer_67,26,North,Standard,218226,70,1,47,77595.23,1650.962340425532,5.0,14.2,0.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,13,4,3,0.5,0.25,0.4,0.0,0.3076923076923077,0.24900000000000003
C10067,Customer_68,62,South,Premium,169063,67,0,52,71438.93,1373.8255769230768,4.0,19.75,0.0,2.0,4.0,3.0,1.0,1.0,0.0,1.0,10,4,1,0.25,0.75,0.5,1.0,0.4,0.27
C10068,Customer_69,24,West,Standard,93344,85,1,54,91667.36,1697.5437037037036,6.0,15.833333333333334,1.0,3.0,5.0,2.0,1.0,1.0,1.0,0.0,6,0,1,0.2,0.4,0.5,0.0,0.0,0.251
C10069,Customer_70,49,East,Premium,129946,28,0,45,108638.96,2414.199111111111,2.0,11.5,1.0,1.0,9.0,5.0,3.0,1.0,1.0,0.0,11,5,2,0.3333333333333333,0.5555555555555556,0.5,0.0,0.45454545454545453,0.19166666666666665
C10070,Customer_71,38,East,Business,61593,91,0,47,105583.82,2246.4642553191493,5.0,11.4,1.0,1.0,5.0,4.0,0.0,2.0,2.0,0.0,16,4,1,0.0,0.8,0.2,0.0,0.25,0.132
C10071,Customer_72,46,North,Standard,61304,12,1,52,113752.44,2187.546923076923,3.0,18.333333333333332,2.0,1.0,5.0,2.0,2.0,4.0,1.0,1.0,4,1,1,0.4,0.4,0.3333333333333333,0.25,0.25,0.2645
C10072,Customer_73,64,West,Standard,186458,55,1,53,193989.12,3660.172075471698,1.0,30.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,7,1,1,0.3333333333333333,0.3333333333333333,1.0,0.0,0.14285714285714285,0.16666666666666666
C10073,Customer_74,54,Central,Standard,211292,81,0,55,107046.22,1946.2949090909092,6.0,16.166666666666668,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,9,4,3,0.0,1.0,0.3333333333333333,0.5,0.4444444444444444,0.22499999999999998
C10074,Customer_75,30,East,Premium,138613,61,0,50,89585.23,1791.7046,2.0,3.5,0.0,0.0,5.0,1.0,2.0,1.0,1.0,0.0,18,3,3,0.4,0.2,0.0,0.0,0.16666666666666666,0.122
C10075,Customer_76,56,North,Standard,225410,24,0,46,101425.32,2204.8982608695655,6.0,17.833333333333332,0.0,1.0,4.0,2.0,0.0,4.0,2.0,2.0,12,1,4,0.0,0.5,0.16666666666666666,0.5,0.08333333333333333,0.21000000000000002
C10076,Customer_77,34,Central,Business,177155,53,0,67,131520.08,1962.9862686567162,2.0,15.5,1.0,1.0,7.0,2.0,3.0,2.0,1.0,0.0,13,3,3,0.42857142857142855,0.2857142857142857,0.5,0.0,0.23076923076923078,0.1992857142857143
C10077,Customer_78,51,West,Premium,43354,50,1,51,102987.01,2019.3531372549019,3.0,15.333333333333334,1.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,14,1,1,0.0,0.6666666666666666,1.0,0.0,0.07142857142857142,0.2
C10078,Customer_79,68,East,Standard,47190,23,0,59,94020.43000000001,1593.5666101694917,2.0,24.0,0.0,0.0,7.0,1.0,2.0,2.0,2.0,0.0,10,1,1,0.2857142857142857,0.14285714285714285,0.0,0.0,0.1,0.11285714285714285
C10079,Customer_80,35,Central,Standard,31142,24,0,53,72295.85,1364.072641509434,1.0,26.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,8,1,2,0.16666666666666666,0.3333333333333333,0.0,0.0,0.125,0.06833333333333334
C10080,Customer_81,28,Central,Premium,184470,102,0,46,95542.26,2077.005652173913,2.0,13.5,0.0,0.0,5.0,3.0,1.0,3.0,3.0,0.0,4,1,0,0.2,0.6,0.0,0.0,0.25,0.136
C10081,Customer_82,34,Central,Premium,208043,100,0,60,111951.18,1865.8529999999998,5.0,13.0,0.0,3.0,4.0,3.0,0.0,5.0,5.0,0.0,13,2,1,0.0,0.75,0.6,0.0,0.15384615384615385,0.20600000000000002
C10082,Customer_83,43,East,Standard,66862,32,0,54,75306.86,1394.5714814814814,1.0,15.0,0.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,12,1,2,0.14285714285714285,0.42857142857142855,1.0,0.0,0.08333333333333333,0.15142857142857144
C10083,Customer_84,60,East,Standard,209482,27,0,45,92428.47,2053.966,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,9,2,2,0.2,0.2,0.0,0.0,0.2222222222222222,0.056
C10084,Customer_85,41,South,Premium,175575,111,0,47,80793.73,1719.0155319148935,2.0,20.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,13,3,3,0.0,0.5,0.5,0.0,0.23076923076923078,0.10500000000000001
C10085,Customer_86,36,West,Standard,150438,30,0,44,97441.98,2214.5904545454546,2.0,12.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,11,0,1,0.0,0.25,0.0,0.0,0.0,0.05
C10086,Customer_87,65,North,Business,73456,67,0,62,98584.49,1590.0724193548388,2.0,10.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,12,3,1,0.0,0.6,0.0,0.0,0.25,0.05
C10087,Customer_88,38,Central,Standard,125167,115,0,49,88758.35,1811.3948979591837,2.0,23.5,1.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,12,3,3,0.25,0.25,0.0,0.5,0.25,0.135
C10088,Customer_89,67,South,Standard,107035,47,0,63,117252.94,1861.1577777777777,2.0,23.0,0.0,1.0,10.0,7.0,2.0,2.0,1.0,0.0,9,2,1,0.2,0.7,0.5,0.0,0.2222222222222222,0.161
C10089,Customer_90,44,North,Premium,33016,70,0,58,106103.43,1829.3694827586205,3.0,15.0,2.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,7,2,1,0.0,1.0,0.0,0.25,0.2857142857142857,0.0975
C10090,Customer_91,46,South,Standard,27384,9,0,41,72810.59,1775.8680487804877,1.0,16.0,1.0,0.0,9.0,5.0,2.0,0.0,0.0,0.0,14,3,3,0.2222222222222222,0.5555555555555556,0.0,0.0,0.21428571428571427,0.09277777777777779
C10091,Customer_92,45,East,Standard,218392,51,0,46,91952.38,1998.9647826086957,1.0,11.0,0.0,0.0,3.0,3.0,0.0,3.0,2.0,1.0,8,1,2,0.0,1.0,0.0,0.3333333333333333,0.125,0.07166666666666667
C10092,Customer_93,65,Central,Standard,171144,11,0,54,98983.73,1833.032037037037,2.0,12.5,0.0,0.0,7.0,1.0,4.0,1.0,1.0,0.0,10,1,3,0.5714285714285714,0.14285714285714285,0.0,0.0,0.1,0.1757142857142857
C10093,Customer_94,61,North,Standard,127239,38,0,43,71337.27,1659.0062790697675,2.0,10.5,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,12,3,2,0.4,0.6,0.0,0.0,0.25,0.122
C10094,Customer_95,49,North,Premium,136431,85,0,54,81809.12,1514.9837037037037,1.0,19.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,12,3,5,0.2,0.4,0.0,0.0,0.25,0.07100000000000001
C10095,Customer_96,35,North,Standard,105018,3,0,46,69809.82,1517.6047826086958,5.0,14.8,1.0,1.0,6.0,2.0,3.0,4.0,2.0,1.0,9,1,3,0.5,0.3333333333333333,0.2,0.25,0.1111111111111111,0.2645
C10096,Customer_97,65,North,Standard,65510,12,0,44,90368.06999999999,2053.8197727272727,0.0,0.0,0.0,0.0,8.0,2.0,5.0,3.0,3.0,0.0,13,4,2,0.625,0.25,0.0,0.0,0.3076923076923077,0.17
C10097,Customer_98,21,North,Premium,205005,38,0,46,77579.7,1686.5152173913043,2.0,7.0,0.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,15,1,3,0.2,0.6,0.5,0.3333333333333333,0.06666666666666667,0.17766666666666667
C10098,Customer_99,45,South,Premium,46826,75,1,44,110141.27,2503.210681818182,3.0,21.333333333333332,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,8,3,1,0.5,0.0,0.6666666666666666,0.0,0.375,0.21499999999999997
C10099,Customer_100,27,Central,Standard,93026,111,1,39,59834.78,1534.2251282051282,5.0,20.8,1.0,3.0,6.0,1.0,2.0,0.0,0.0,0.0,7,1,1,0.3333333333333333,0.16666666666666666,0.6,0.0,0.14285714285714285,0.27266666666666667
C10100,Customer_101,29,East,Standard,146668,48,1,47,83083.16,1767.7268085106384,1.0,18.0,0.0,0.0,5.0,1.0,2.0,3.0,3.0,0.0,10,2,0,0.4,0.2,0.0,0.0,0.2,0.10700000000000001
C10101,Customer_102,44,East,Business,181590,108,0,42,80469.67,1915.9445238095238,1.0,28.0,0.0,0.0,9.0,4.0,3.0,4.0,4.0,0.0,6,2,1,0.3333333333333333,0.4444444444444444,0.0,0.0,0.3333333333333333,0.12166666666666667
C10102,Customer_103,21,East,Premium,49045,34,0,56,121510.68000000001,2169.8335714285718,1.0,27.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,0.0,8,2,3,0.25,0.5,1.0,0.0,0.25,0.16
C10103,Customer_104,64,East,Standard,206948,34,0,47,96080.56,2044.2672340425531,2.0,19.0,0.0,0.0,7.0,5.0,2.0,4.0,2.0,1.0,9,1,3,0.2857142857142857,0.7142857142857143,0.0,0.25,0.1111111111111111,0.14535714285714285
C10104,Customer_105,28,South,Standard,248518,8,0,59,77988.03,1321.8310169491526,7.0,18.142857142857142,1.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,10,2,1,0.25,0.5,0.14285714285714285,0.0,0.2,0.19857142857142854
C10105,Customer_106,44,West,Standard,115102,50,0,67,126061.13,1881.5094029850748,1.0,5.0,0.0,0.0,6.0,4.0,1.0,1.0,1.0,0.0,12,1,5,0.16666666666666666,0.6666666666666666,0.0,0.0,0.08333333333333333,0.06833333333333334
C10106,Customer_107,31,Central,Premium,76919,40,0,60,81467.33,1357.7888333333333,2.0,30.0,1.0,2.0,7.0,3.0,1.0,2.0,2.0,0.0,6,0,0,0.14285714285714285,0.42857142857142855,1.0,0.0,0.0,0.19142857142857145
C10107,Customer_108,37,North,Premium,124441,19,0,41,78851.01,1923.1953658536584,3.0,19.666666666666668,0.0,1.0,8.0,1.0,3.0,3.0,2.0,1.0,14,3,4,0.375,0.125,0.3333333333333333,0.3333333333333333,0.21428571428571427,0.23666666666666664
C10108,Customer_109,28,West,Premium,183175,76,0,40,73340.62,1833.5155,5.0,21.2,2.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,7,1,3,0.6666666666666666,0.0,0.0,0.0,0.14285714285714285,0.18833333333333335
C10109,Customer_110,55,East,Premium,192260,116,1,53,118719.43,2239.9892452830186,4.0,15.25,0.0,2.0,3.0,0.0,3.0,3.0,3.0,0.0,12,4,3,1.0,0.0,0.5,0.0,0.3333333333333333,0.30000000000000004
C10110,Customer_111,55,West,Premium,161917,29,0,55,87613.0,1592.9636363636364,3.0,17.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,11,4,0,0.6,0.4,0.3333333333333333,0.0,0.36363636363636365,0.21799999999999997
