product_id,customer_id,product_type,start_date,status
P310,C10914,Investment,2024-04-20,Closed
P311,C10477,Savings,2023-11-06,Active
P312,C10095,Investment,2022-08-24,Active
P313,C10572,Loan,2024-09-13,Active
P314,C10507,Insurance,2022-05-24,Active
P315,C10648,Insurance,2022-10-27,Active
P316,C10252,Credit Card,2023-03-29,Active
P317,C10622,Savings,2023-08-29,Active
P318,C10678,Credit Card,2025-05-12,Active
P319,C10812,Insurance,2025-10-24,Active
P320,C10103,Insurance,2024-03-22,Active
P321,C10421,Investment,2024-08-16,Active
P322,C10039,Insurance,2023-03-25,Active
P323,C10568,Insurance,2022-01-08,Active
P324,C10199,Investment,2023-06-19,Active
P325,C10553,Savings,2025-11-24,Active
P326,C10544,Loan,2024-01-13,Active
P327,C10007,Credit Card,2022-08-12,Pending
P328,C10946,Savings,2024-11-23,Active
P329,C10897,Investment,2023-06-24,Closed
P330,C10390,Credit Card,2022-05-07,Active
P331,C10760,Credit Card,2023-09-05,Active
P332,C10374,Investment,2022-04-13,Active
P333,C10340,Loan,2024-03-31,Active
P334,C10754,Insurance,2024-12-27,Active
P335,C10486,Credit Card,2024-08-24,Active
P336,C10394,Loan,2023-06-29,Active
P337,C10285,Credit Card,2023-05-13,Pending
P338,C10252,Savings,2022-11-04,Closed
P339,C10028,Credit Card,2025-10-24,Active
P340,C10487,Insurance,2023-12-25,Closed
P341,C10193,Insurance,2025-11-16,Closed
P342,C10245,Loan,2025-04-13,Active
P343,C10343,Investment,2023-02-05,Pending
P344,C10083,Savings,2023-10-18,Active
P345,C10520,Credit Card,2024-02-04,Active
P346,C10649,Credit Card,2022-05-23,Active
P347,C10997,Loan,2023-07-03,Closed
P348,C10431,Savings,2025-02-23,Active
P349,C10573,Savings,2022-07-19,Active
P350,C10366,Loan,2023-06-01,Active
P351,C10983,Savings,2025-04-07,Active
P352,C10924,Investment,2025-11-03,Active
P353,C10648,Savings,2022-04-02,Active
P354,C10014,Credit Card,2022-12-14,Active
P355,C10272,Loan,2025-07-10,Active
P356,C10359,Credit Card,2025-12-25,Closed
P357,C10446,Savings,2024-05-02,Closed
P358,C10402,Loan,2022-04-11,Active
P359,C10893,Savings,2023-05-25,Active
P360,C10513,Credit Card,2025-12-31,Active
P361,C10033,Savings,2023-06-25,Active
P362,C10888,Savings,2025-05-21,Active
P363,C10755,Credit Card,2025-09-13,Active
P364,C10410,Investment,2023-07-27,Closed
P365,C10194,Loan,2023-08-15,Closed
P366,C10198,Savings,2023-06-08,Closed
P367,C10300,Insurance,2022-09-07,Active
P368,C10813,Credit Card,2023-04-25,Active
P369,C10601,Insurance,2024-01-10,Active
P370,C10122,Savings,2025-08-12,Closed
P371,C10651,Savings,2022-12-02,Active
P372,C10367,Savings,2025-12-17,Pending
P373,C10015,Loan,2023-11-11,Active
P374,C10600,Credit Card,2023-06-17,Active
P375,C10246,Credit Card,2025-04-21,Active
P376,C10366,Savings,2022-07-20,Active
P377,C10357,Insurance,2025-10-28,Pending
P378,C10130,Credit Card,2024-11-10,Active
P379,C10758,Investment,2024-10-28,Active
P380,C10246,Investment,2025-09-13,Active
P381,C10391,Insurance,2025-08-12,Active
P382,C10995,Savings,2025-04-26,Active
P383,C10457,Insurance,2022-01-19,Active
P384,C10106,Investment,2024-03-28,Active
P385,C10862,Loan,2022-04-15,Active
P386,C10529,Loan,2023-07-22,Active
P387,C10821,Insurance,2022-05-05,Active
P388,C10431,Investment,2024-07-16,Active
P389,C10865,Savings,2023-03-05,Active
P390,C10655,Loan,2022-03-11,Closed
P391,C10820,Investment,2022-12-11,Pending
P392,C10661,Investment,2022-04-09,Active
P393,C10485,Savings,2022-06-02,Active
P394,C10560,Insurance,2022-04-12,Active
P395,C10115,Savings,2024-08-31,Closed
P396,C10915,Insurance,2025-10-08,Active
P397,C10402,Loan,2023-03-14,Closed
P398,C10256,Savings,2025-11-24,Pending
P399,C10241,Credit Card,2025-02-19,Active
P400,C10121,Investment,2022-05-17,Active
P401,C10678,Loan,2022-08-31,Active
P402,C10928,Loan,2023-07-29,Active
P403,C10865,Investment,2024-08-08,Active
P404,C10680,Investment,2024-06-28,Pending
P405,C10230,Credit Card,2024-07-20,Active
P406,C10434,Insurance,2023-12-29,Active
P407,C10278,Credit Card,2024-06-05,Pending
P408,C10932,Credit Card,2022-07-22,Active
P409,C10493,Loan,2022-07-29,Active
P410,C10527,Investment,2022-12-15,Closed
P411,C10773,Loan,2022-04-11,Closed
P412,C10266,Investment,2022-12-12,Active
P413,C10266,Credit Card,2024-10-16,Active
P414,C10969,Credit Card,2024-10-21,Active
P415,C10193,Credit Card,2024-06-01,Closed
P416,C10135,Savings,2024-10-31,Active
P417,C10940,Loan,2024-08-13,Pending
P418,C10218,Investment,2022-02-08,Active
P419,C10608,Investment,2022-09-17,Active
P420,C10545,Insurance,2025-08-25,Active
P421,C10743,Loan,2024-06-23,Active
P422,C10770,Credit Card,2022-02-16,Active
P423,C10253,Insurance,2025-09-27,Active
P424,C10191,Investment,2025-01-21,Pending
P425,C10655,Credit Card,2023-03-16,Pending
P426,C10613,Credit Card,2022-05-27,Closed
P427,C10815,Credit Card,2023-02-10,Active
P428,C10531,Savings,2022-10-24,Closed
P429,C10699,Credit Card,2022-09-01,Active
P430,C10803,Investment,2024-02-21,Active
P431,C10509,Credit Card,2023-03-04,Active
P432,C10346,Credit Card,2022-11-11,Active
P433,C10739,Loan,2024-06-25,Active
P434,C10324,Insurance,2025-11-03,Active
P435,C10417,Credit Card,2023-01-30,Active
P436,C10163,Savings,2023-08-06,Closed
P437,C10042,Loan,2023-08-11,Active
P438,C10591,Insurance,2025-01-18,Active
P439,C10921,Investment,2022-02-01,Active
P440,C10545,Insurance,2023-09-25,Active
P441,C10584,Insurance,2024-03-22,Pending
P442,C10304,Loan,2025-01-15,Active
P443,C10028,Investment,2025-10-05,Active
P444,C10152,Loan,2023-02-08,Active
P445,C10012,Loan,2023-09-15,Closed
P446,C10346,Savings,2023-04-03,Active
P447,C10939,Credit Card,2024-11-27,Closed
P448,C10449,Loan,2022-05-16,Active
P449,C10902,Insurance,2024-08-14,Active
P450,C10442,Investment,2023-11-17,Active
P451,C10208,Credit Card,2023-10-24,Active
P452,C10480,Loan,2025-05-16,Active
P453,C10017,Savings,2025-03-23,Pending
P454,C10081,Credit Card,2022-03-17,Active
P455,C10702,Credit Card,2025-07-22,Closed
P456,C10414,Investment,2024-07-06,Active
P457,C10922,Investment,2024-05-04,Active
P458,C10603,Investment,2023-01-28,Closed
P459,C10428,Investment,2024-07-03,Active
P460,C10100,Loan,2022-07-14,Active
P461,C10827,Insurance,2022-07-26,Active
P462,C10532,Insurance,2024-08-18,Closed
P463,C10955,Loan,2022-01-31,Active
P464,C10792,Insurance,2024-11-16,Closed
P465,C10855,Investment,2022-08-02,Active
P466,C10781,Insurance,2022-09-21,Closed
P467,C10198,Loan,2025-11-28,Closed
P468,C10710,Insurance,2022-06-06,Active
P469,C10786,Insurance,2023-11-02,Closed
P470,C10380,Savings,2025-12-11,Active
P471,C10899,Insurance,2022-04-02,Closed
P472,C10630,Credit Card,2022-05-23,Active
P473,C10199,Credit Card,2024-02-08,Active
P474,C10453,Insurance,2023-02-27,Active
P475,C10290,Loan,2025-11-26,Pending
P476,C10107,Investment,2022-11-24,Active
P477,C10479,Investment,2025-07-28,Active
P478,C10449,Loan,2022-03-05,Active
P479,C10208,Insurance,2023-06-09,Active
P480,C10337,Credit Card,2024-06-13,Closed
P481,C10921,Insurance,2025-09-30,Active
P482,C10355,Insurance,2023-12-01,Closed
P483,C10427,Loan,2025-11-15,Closed
P484,C10847,Insurance,2024-07-26,Active
P485,C10043,Loan,2025-01-29,Active
P486,C10428,Credit Card,2024-03-11,Active
P487,C10776,Insurance,2025-03-31,Active
P488,C10643,Savings,2023-05-04,Active
P489,C10469,Credit Card,2025-04-04,Active
P490,C10478,Investment,2023-03-11,Active
P491,C10641,Loan,2023-09-08,Active
P492,C10326,Savings,2023-03-20,Active
P493,C10337,Credit Card,2024-03-24,Active
P494,C10154,Savings,2023-06-17,Active
P495,C10300,Credit Card,2025-07-25,Active
P496,C10718,Loan,2024-04-09,Active
P497,C10903,Insurance,2023-12-15,Active
P498,C10840,Credit Card,2023-12-18,Active
P499,C10027,Loan,2023-01-08,Active
P500,C10685,Investment,2023-10-09,Active
P501,C10530,Credit Card,2025-04-27,Active
P502,C10616,Credit Card,2023-01-28,Active
P503,C10569,Insurance,2025-01-08,Active
P504,C10143,Investment,2024-08-12,Active
P505,C10759,Loan,2022-07-10,Active
P506,C10249,Loan,2024-11-27,Active
P507,C10740,Savings,2022-08-22,Active
P508,C10148,Savings,2024-09-30,Active
P509,C10161,Savings,2022-08-21,Active
P510,C10673,Insurance,2023-07-15,Active
P511,C10153,Loan,2025-02-21,Active
P512,C10536,Insurance,2025-05-01,Pending
P513,C10533,Investment,2023-06-22,Active
P514,C10853,Insurance,2023-09-21,Active
P515,C10792,Insurance,2024-11-30,Active
P516,C10147,Credit Card,2022-12-10,Active
P517,C10858,Savings,2022-11-11,Active
P518,C10801,Insurance,2025-01-21,Pending
P519,C10037,Credit Card,2023-10-27,Active
P520,C10589,Credit Card,2024-02-17,Pending
P521,C10390,Loan,2024-08-10,Active
P522,C10321,Investment,2022-09-27,Active
P523,C10888,Savings,2022-08-17,Active
P524,C10552,Investment,2025-06-27,Closed
P525,C10177,Savings,2024-02-21,Closed
P526,C10809,Savings,2025-06-19,Active
P527,C10071,Investment,2023-08-24,Pending
P528,C10332,Credit Card,2022-12-29,Closed
P529,C10931,Credit Card,2023-04-22,Active
P530,C10101,Loan,2022-05-25,Active
P531,C10191,Insurance,2022-01-30,Pending
P532,C10446,Credit Card,2024-01-31,Active
P533,C10633,Insurance,2022-02-16,Active
P534,C10876,Investment,2022-02-28,Active
P535,C10401,Loan,2025-04-13,Active
P536,C10186,Loan,2022-05-24,Active
P537,C10348,Savings,2022-08-01,Active
P538,C10389,Investment,2025-05-03,Active
P539,C10534,Insurance,2022-12-18,Active
P540,C10309,Credit Card,2022-11-15,Pending
P541,C10095,Savings,2023-10-11,Active
P542,C10830,Insurance,2023-06-15,Active
P543,C10712,Credit Card,2022-06-21,Active
P544,C10429,Loan,2022-11-07,Active
P545,C10671,Savings,2022-10-02,Closed
P546,C10979,Credit Card,2022-01-25,Active
P547,C10888,Insurance,2025-06-03,Pending
P548,C10930,Insurance,2025-04-29,Active
P549,C10329,Credit Card,2025-06-21,Pending
P550,C10390,Credit Card,2022-03-22,Active
P551,C10583,Insurance,2023-05-02,Active
P552,C10906,Loan,2024-11-29,Active
P553,C10602,Investment,2023-05-31,Active
P554,C10155,Savings,2023-01-23,Active
P555,C10604,Savings,2022-04-25,Active
P556,C10387,Savings,2025-07-18,Pending
P557,C10349,Loan,2022-10-20,Active
P558,C10278,Credit Card,2024-10-28,Closed
P559,C10956,Credit Card,2024-10-23,Closed
P560,C10918,Credit Card,2024-03-07,Active
P561,C10397,Investment,2023-01-11,Active
P562,C10173,Loan,2023-06-18,Active
P563,C10629,Loan,2025-11-01,Active
P564,C10049,Loan,2023-10-18,Closed
P565,C10023,Investment,2025-10-28,Active
P566,C10638,Credit Card,2023-03-27,Active
P567,C10598,Credit Card,2023-04-15,Active
P568,C10172,Loan,2024-02-01,Active
P569,C10809,Credit Card,2023-05-27,Active
P570,C10356,Insurance,2024-04-07,Active
P571,C10496,Insurance,2024-01-29,Active
P572,C10945,Savings,2024-08-10,Active
P573,C10184,Savings,2023-02-25,Active
P574,C10047,Loan,2023-01-26,Active
P575,C10065,Investment,2024-04-16,Active
P576,C10323,Loan,2024-02-03,Active
P577,C10720,Credit Card,2022-01-20,Pending
P578,C10555,Savings,2022-10-05,Active
P579,C10905,Savings,2025-02-17,Active
P580,C10961,Loan,2023-09-23,Active
P581,C10855,Loan,2023-03-08,Active
P582,C10595,Credit Card,2022-02-14,Closed
P583,C10805,Savings,2024-01-14,Active
P584,C10063,Credit Card,2023-12-15,Active
P585,C10988,Savings,2024-06-12,Pending
P586,C10851,Savings,2024-09-27,Closed
P587,C10656,Insurance,2022-06-25,Active
P588,C10217,Investment,2023-02-21,Pending
P589,C10874,Savings,2023-01-22,Active
P590,C10621,Credit Card,2022-12-04,Active
P591,C10333,Investment,2022-03-19,Active
P592,C10849,Investment,2024-11-28,Active
P593,C10751,Investment,2024-08-05,Active
P594,C10722,Investment,2022-12-22,Active
P595,C10851,Investment,2024-01-21,Active
P596,C10984,Savings,2024-09-06,Active
P597,C10295,Investment,2023-10-25,Active
P598,C10254,Loan,2023-11-15,Closed
P599,C10299,Insurance,2022-06-22,Active
P600,C10812,Loan,2022-11-17,Active
P601,C10601,Savings,2024-02-24,Pending
P602,C10002,Loan,2022-02-23,Active
P603,C10715,Credit Card,2022-11-01,Active
P604,C10389,Loan,2025-08-07,Active
P605,C10855,Loan,2022-01-17,Active
P606,C10514,Investment,2025-03-14,Active
P607,C10560,Insurance,2024-01-02,Closed
P608,C10201,Loan,2022-02-23,Active
P609,C10487,Insurance,2022-06-29,Closed
P610,C10425,Loan,2025-05-08,Closed
P611,C10112,Savings,2023-10-11,Closed
P612,C10077,Insurance,2023-02-16,Active
P613,C10624,Insurance,2023-03-28,Active
P614,C10641,Savings,2025-10-24,Active
P615,C10593,Insurance,2022-05-13,Active
P616,C10023,Investment,2023-10-27,Active
P617,C10193,Savings,2022-03-05,Active
P618,C10032,Insurance,2025-04-19,Pending
P619,C10847,Loan,2023-12-31,Active
P620,C10809,Loan,2022-06-30,Pending
P621,C10302,Savings,2024-03-25,Active
P622,C10669,Investment,2024-11-22,Active
P623,C10222,Savings,2025-12-27,Active
P624,C10853,Insurance,2023-11-20,Active
P625,C10848,Credit Card,2024-04-09,Active
P626,C10292,Loan,2024-08-13,Active
P627,C10095,Insurance,2022-03-26,Closed
P628,C10619,Savings,2025-12-24,Closed
P629,C10851,Insurance,2022-10-26,Active
P630,C10711,Credit Card,2023-09-17,Active
P631,C10232,Insurance,2023-01-16,Active
P632,C10633,Credit Card,2025-09-09,Closed
P633,C10479,Savings,2022-11-17,Active
P634,C10233,Credit Card,2023-05-22,Closed
P635,C10371,Credit Card,2022-08-12,Active
P636,C10605,Savings,2024-07-11,Pending
P637,C10296,Investment,2024-02-17,Active
P638,C10282,Insurance,2025-07-17,Active
