transaction_id,customer_id,transaction_date,amount,transaction_type,merchant_category
T115,C10058,2026-05-01,110.23,Purchase,Utilities
T116,C10326,2025-09-29,3204.86,Payment,Utilities
T117,C10904,2025-06-28,1010.18,Withdrawal,Food
T118,C10620,2026-04-25,1808.07,Transfer,Utilities
T119,C10896,2025-06-08,5020.71,Payment,Utilities
T120,C10668,2025-07-23,1584.22,Payment,Healthcare
T121,C10190,2025-10-05,9059.81,Transfer,Food
T122,C10199,2025-05-23,167.38,Transfer,Food
T123,C10311,2026-06-04,798.26,Payment,Retail
T124,C10707,2026-05-27,180.64,Withdrawal,Travel
T125,C10034,2025-04-26,1501.77,Purchase,Healthcare
T126,C10378,2026-01-27,1183.82,Purchase,Travel
T127,C10386,2025-12-09,367.9,Purchase,Utilities
T128,C10757,2026-01-08,9638.39,Withdrawal,Utilities
T129,C10236,2026-01-04,765.53,Purchase,Food
T130,C10615,2025-08-03,120.76,Transfer,Retail
T131,C10518,2026-05-26,2165.02,Withdrawal,Entertainment
T132,C10282,2026-07-23,2198.82,Payment,Food
T133,C10000,2025-11-23,678.92,Payment,Utilities
T134,C10730,2025-02-06,2412.37,Transfer,Retail
T135,C10463,2026-01-15,424.01,Transfer,Food
T136,C10229,2026-05-27,722.6,Purchase,Retail
T137,C10966,2025-11-20,1625.72,Purchase,Entertainment
T138,C10171,2026-01-04,2763.73,Withdrawal,Entertainment
T139,C10086,2025-08-12,876.37,Transfer,Retail
T140,C10552,2025-04-10,676.94,Transfer,Utilities
T141,C10122,2025-03-16,1052.35,Withdrawal,Food
T142,C10842,2026-03-13,141.69,Payment,Entertainment
T143,C10297,2026-01-03,829.18,Withdrawal,Healthcare
T144,C10884,2025-03-04,151.33,Withdrawal,Retail
T145,C10928,2025-04-09,472.66,Purchase,Retail
T146,C10689,2025-08-13,264.44,Transfer,Utilities
T147,C10574,2025-03-16,1859.86,Payment,Retail
T148,C10483,2025-07-03,527.99,Transfer,Food
T149,C10164,2025-10-20,3781.6,Withdrawal,Healthcare
T150,C10698,2025-02-26,172.91,Transfer,Healthcare
T151,C10382,2025-09-06,859.63,Purchase,Entertainment
T152,C10208,2026-04-14,1193.38,Withdrawal,Travel
T153,C10738,2025-05-20,1790.18,Transfer,Travel
T154,C10431,2025-12-25,9448.31,Transfer,Retail
T155,C10388,2026-07-07,153.43,Purchase,Utilities
T156,C10559,2026-02-12,514.1,Purchase,Retail
T157,C10223,2026-04-19,8078.7,Transfer,Healthcare
T158,C10002,2026-03-22,436.56,Purchase,Utilities
T159,C10371,2025-08-20,1705.74,Transfer,Entertainment
T160,C10686,2025-10-27,428.48,Transfer,Entertainment
T161,C10445,2026-03-02,272.06,Withdrawal,Entertainment
T162,C10610,2025-06-10,485.15,Withdrawal,Healthcare
T163,C10115,2026-02-05,7923.78,Payment,Entertainment
T164,C10269,2026-01-13,341.53,Payment,Travel
T165,C10446,2025-09-14,813.86,Transfer,Retail
T166,C10367,2026-05-09,850.11,Withdrawal,Healthcare
T167,C10252,2026-05-04,2741.72,Payment,Utilities
T168,C10316,2025-07-01,3391.02,Payment,Healthcare
T169,C10414,2026-06-10,1221.4,Purchase,Healthcare
T170,C10094,2025-04-10,45.16,Withdrawal,Healthcare
T171,C10784,2025-12-24,450.68,Withdrawal,Healthcare
T172,C10891,2025-08-19,330.95,Withdrawal,Healthcare
T173,C10023,2026-07-19,3493.58,Transfer,Food
T174,C10627,2025-01-06,436.57,Payment,Utilities
T175,C10662,2025-03-31,5904.63,Payment,Travel
T176,C10849,2025-03-05,1649.44,Payment,Food
T177,C10049,2025-03-29,3411.13,Payment,Healthcare
T178,C10501,2025-02-02,10464.79,Purchase,Retail
T179,C10717,2025-03-13,426.74,Purchase,Retail
T180,C10497,2026-07-10,217.03,Withdrawal,Entertainment
T181,C10334,2025-09-10,1322.13,Purchase,Travel
T182,C10078,2025-04-17,2847.16,Withdrawal,Food
T183,C10581,2026-05-29,564.04,Transfer,Food
T184,C10026,2025-05-16,1137.27,Withdrawal,Travel
T185,C10270,2026-02-13,3703.52,Transfer,Food
T186,C10561,2025-05-01,3354.51,Purchase,Travel
T187,C10803,2026-04-23,612.91,Purchase,Utilities
T188,C10246,2025-04-04,1438.48,Payment,Travel
T189,C10775,2026-05-20,430.21,Payment,Utilities
T190,C10590,2025-01-07,257.25,Withdrawal,Entertainment
T191,C10386,2026-08-23,4265.11,Purchase,Food
T192,C10701,2025-07-10,129.9,Purchase,Entertainment
T193,C10558,2026-04-02,1327.42,Purchase,Utilities
T194,C10972,2026-01-21,757.26,Purchase,Travel
T195,C10360,2025-10-05,1898.39,Withdrawal,Retail
T196,C10865,2026-03-24,552.8,Transfer,Healthcare
T197,C10983,2025-02-21,3434.47,Payment,Travel
T198,C10487,2026-02-09,878.11,Purchase,Healthcare
T199,C10351,2026-01-31,4681.83,Purchase,Utilities
T200,C10700,2025-07-30,1364.93,Purchase,Retail
T201,C10927,2025-09-27,383.82,Purchase,Travel
T202,C10255,2026-06-29,1886.66,Payment,Utilities
T203,C10221,2025-10-09,1665.02,Withdrawal,Food
T204,C10883,2026-02-02,985.34,Purchase,Food
T205,C10752,2025-08-04,518.86,Withdrawal,Travel
T206,C10780,2026-03-08,2593.17,Transfer,Food
T207,C10000,2025-11-17,417.71,Purchase,Food
T208,C10545,2026-05-08,464.05,Transfer,Utilities
T209,C10445,2026-08-29,1858.4,Purchase,Entertainment
T210,C10078,2026-08-09,888.19,Withdrawal,Healthcare
T211,C10235,2025-05-08,153.74,Payment,Utilities
T212,C10333,2025-03-15,419.1,Purchase,Entertainment
T213,C10888,2026-04-21,1645.58,Withdrawal,Entertainment
T214,C10348,2026-03-28,837.36,Purchase,Utilities
T215,C10097,2026-04-07,991.19,Withdrawal,Retail
T216,C10081,2026-03-14,1425.17,Purchase,Retail
T217,C10501,2025-09-13,1730.73,Payment,Travel
T218,C10966,2026-03-24,1231.65,Transfer,Retail
T219,C10476,2025-04-12,39.33,Purchase,Healthcare
T220,C10926,2026-07-13,1037.72,Transfer,Travel
T221,C10703,2025-10-10,654.36,Transfer,Food
T222,C10764,2025-07-23,1130.74,Withdrawal,Food
T223,C10920,2025-03-27,3189.73,Withdrawal,Utilities
T224,C10549,2025-11-20,375.23,Withdrawal,Utilities
T225,C10013,2025-06-13,1176.46,Purchase,Travel
T226,C10391,2025-02-26,1767.01,Payment,Travel
T227,C10346,2025-07-25,804.7,Payment,Entertainment
T228,C10309,2026-03-05,296.17,Payment,Entertainment
T229,C10385,2025-05-28,329.02,Withdrawal,Utilities
T230,C10208,2025-10-28,1059.39,Payment,Utilities
T231,C10356,2025-10-17,589.72,Transfer,Travel
T232,C10973,2025-01-21,159.52,Payment,Healthcare
T233,C10600,2025-05-17,493.68,Transfer,Retail
T234,C10567,2026-01-04,298.7,Payment,Retail
T235,C10093,2026-06-06,2317.85,Transfer,Food
T236,C10092,2026-07-11,248.57,Payment,Travel
T237,C10339,2026-03-12,4538.72,Withdrawal,Travel
T238,C10596,2025-01-30,9506.37,Transfer,Healthcare
T239,C10444,2026-03-24,522.91,Purchase,Entertainment
T240,C10756,2025-08-13,593.61,Purchase,Retail
T241,C10021,2026-01-21,2817.94,Purchase,Healthcare
T242,C10290,2026-08-31,3242.2,Transfer,Healthcare
T243,C10484,2026-03-05,670.2,Payment,Retail
T244,C10783,2026-06-13,706.45,Withdrawal,Retail
T245,C10305,2025-01-28,712.23,Withdrawal,Healthcare
T246,C10633,2025-05-06,467.93,Payment,Utilities
T247,C10127,2026-05-14,2728.48,Payment,Entertainment
T248,C10624,2025-07-06,1281.04,Payment,Utilities
T249,C10938,2026-01-07,530.95,Purchase,Food
T250,C10272,2025-05-18,1169.83,Withdrawal,Retail
T251,C10847,2025-12-03,751.2,Transfer,Travel
T252,C10441,2025-08-02,13406.44,Transfer,Healthcare
T253,C10502,2025-10-18,855.08,Payment,Utilities
T254,C10129,2026-07-24,2298.92,Payment,Utilities
T255,C10131,2026-01-06,1693.75,Payment,Retail
T256,C10596,2026-06-14,943.27,Transfer,Healthcare
T257,C10934,2026-07-03,1703.2,Payment,Food
T258,C10481,2025-10-23,1353.56,Purchase,Travel
T259,C10861,2026-08-14,13184.17,Withdrawal,Entertainment
T260,C10389,2026-02-23,995.17,Payment,Utilities
T261,C10592,2025-12-27,80.9,Payment,Entertainment
T262,C10998,2025-06-07,9789.26,Purchase,Travel
T263,C10984,2025-03-16,658.76,Purchase,Entertainment
T264,C10324,2026-01-07,1195.67,Payment,Travel
T265,C10068,2026-07-21,636.65,Purchase,Food
T266,C10659,2026-06-05,602.5,Payment,Entertainment
T267,C10447,2025-04-16,358.29,Payment,Entertainment
T268,C10527,2026-01-02,148.04,Payment,Travel
T269,C10818,2026-02-06,535.13,Withdrawal,Retail
T270,C10616,2025-04-13,1833.99,Payment,Entertainment
T271,C10164,2025-11-21,211.36,Purchase,Food
T272,C10487,2026-01-08,1817.73,Withdrawal,Healthcare
T273,C10712,2025-12-04,11156.16,Payment,Travel
T274,C10708,2025-02-02,1460.88,Transfer,Food
T275,C10425,2025-04-18,273.29,Transfer,Retail
T276,C10696,2026-02-26,1640.1,Transfer,Retail
T277,C10833,2025-09-26,2857.24,Transfer,Travel
T278,C10264,2025-03-14,4040.93,Purchase,Travel
T279,C10874,2025-06-30,1323.06,Transfer,Healthcare
T280,C10611,2025-06-01,2007.09,Payment,Retail
T281,C10341,2026-05-27,2566.27,Payment,Entertainment
T282,C10831,2025-03-09,2002.73,Purchase,Healthcare
T283,C10725,2026-01-07,1507.71,Withdrawal,Food
T284,C10277,2025-12-14,578.91,Transfer,Food
T285,C10673,2025-02-01,2848.14,Transfer,Travel
T286,C10438,2025-03-20,641.74,Payment,Healthcare
T287,C10156,2025-09-16,14801.45,Transfer,Utilities
T288,C10421,2026-05-12,578.35,Withdrawal,Utilities
T289,C10250,2025-06-24,2446.91,Payment,Retail
T290,C10877,2026-01-02,305.66,Withdrawal,Utilities
T291,C10608,2025-01-15,680.8,Withdrawal,Travel
T292,C10529,2025-02-20,608.37,Purchase,Entertainment
T293,C10326,2025-04-17,279.43,Withdrawal,Travel
T294,C10960,2026-04-14,617.45,Withdrawal,Retail
T295,C10894,2025-07-21,1572.43,Payment,Utilities
T296,C10096,2025-08-06,856.28,Withdrawal,Healthcare
T297,C10512,2025-02-10,3615.43,Purchase,Healthcare
T298,C10215,2026-01-20,432.07,Purchase,Entertainment
T299,C10131,2025-12-02,2202.45,Transfer,Healthcare
T300,C10259,2025-04-15,606.33,Transfer,Travel
T301,C10124,2025-07-22,3392.01,Payment,Entertainment
T302,C10081,2026-05-25,2400.35,Purchase,Utilities
T303,C10282,2025-04-05,3019.97,Transfer,Food
T304,C10682,2025-06-26,933.21,Transfer,Healthcare
T305,C10058,2025-03-06,4143.75,Transfer,Utilities
T306,C10543,2026-07-07,208.52,Withdrawal,Entertainment
T307,C10160,2025-08-12,1713.49,Payment,Travel
T308,C10283,2026-08-02,1259.19,Transfer,Utilities
T309,C10105,2026-01-15,2524.98,Transfer,Food
T310,C10104,2025-09-12,1016.64,Withdrawal,Food
T311,C10438,2025-10-25,409.92,Payment,Retail
T312,C10227,2026-08-04,368.03,Payment,Travel
T313,C10699,2025-06-20,1083.76,Withdrawal,Utilities
T314,C10581,2025-12-30,845.46,Transfer,Healthcare
T315,C10317,2025-03-14,2583.56,Payment,Utilities
T316,C10463,2025-03-01,2846.49,Purchase,Food
T317,C10801,2026-03-31,1150.36,Payment,Entertainment
T318,C10598,2025-12-02,1125.15,Transfer,Retail
T319,C10881,2025-05-04,3179.92,Purchase,Food
T320,C10873,2026-03-31,858.39,Withdrawal,Travel
T321,C10471,2025-01-14,894.13,Payment,Travel
T322,C10055,2026-02-20,292.15,Withdrawal,Healthcare
T323,C10624,2025-01-27,2640.09,Transfer,Food
T324,C10012,2025-02-19,1002.43,Purchase,Utilities
T325,C10439,2025-07-06,3418.15,Transfer,Travel
T326,C10017,2025-02-26,327.99,Withdrawal,Retail
T327,C10693,2025-02-03,670.88,Withdrawal,Healthcare
T328,C10972,2026-06-22,2824.47,Withdrawal,Utilities
T329,C10112,2026-01-06,1519.58,Payment,Entertainment
T330,C10228,2025-03-27,335.92,Withdrawal,Entertainment
T331,C10170,2025-06-09,2758.82,Purchase,Entertainment
T332,C10294,2026-03-01,297.44,Purchase,Utilities
T333,C10188,2025-04-16,2509.8,Purchase,Retail
T334,C10425,2026-01-26,411.72,Withdrawal,Entertainment
T335,C10976,2026-05-27,3682.97,Withdrawal,Utilities
T336,C10078,2025-10-02,1227.69,Purchase,Entertainment
T337,C10657,2025-10-16,1546.97,Withdrawal,Entertainment
T338,C10918,2025-09-15,1011.27,Payment,Entertainment
T339,C10181,2025-08-08,1197.12,Withdrawal,Entertainment
T340,C10498,2026-06-11,1191.49,Payment,Healthcare
T341,C10797,2026-06-17,2220.89,Purchase,Food
T342,C10761,2025-02-28,1029.71,Withdrawal,Travel
T343,C10865,2025-12-26,4732.97,Withdrawal,Healthcare
T344,C10825,2026-08-17,525.24,Payment,Healthcare
T345,C10707,2025-04-23,2593.23,Payment,Entertainment
T346,C10834,2025-10-03,1927.88,Payment,Travel
T347,C10070,2025-09-14,3764.61,Payment,Utilities
T348,C10247,2025-11-25,1237.59,Withdrawal,Food
T349,C10145,2025-08-23,1524.5,Payment,Travel
T350,C10617,2025-02-20,1507.33,Payment,Healthcare
T351,C10774,2025-08-09,325.08,Payment,Retail
T352,C10295,2026-08-19,1625.92,Transfer,Retail
T353,C10581,2025-08-18,28851.2,Purchase,Healthcare
T354,C10469,2025-08-10,5481.7,Purchase,Retail
T355,C10505,2025-02-23,502.76,Transfer,Healthcare
T356,C10192,2025-09-30,181.18,Transfer,Retail
T357,C10067,2025-07-17,1155.38,Transfer,Entertainment
T358,C10493,2025-05-08,3240.0,Withdrawal,Travel
T359,C10816,2026-08-27,1055.06,Purchase,Travel
T360,C10051,2025-01-09,7253.19,Transfer,Travel
T361,C10881,2025-08-15,502.58,Transfer,Utilities
T362,C10362,2026-07-12,1373.3,Payment,Utilities
T363,C10796,2025-05-14,983.75,Transfer,Utilities
T364,C10916,2025-01-16,2278.82,Withdrawal,Retail
T365,C10473,2025-08-03,2440.41,Payment,Food
T366,C10845,2025-04-22,3599.8,Payment,Retail
T367,C10520,2025-06-06,968.81,Transfer,Healthcare
T368,C10762,2026-03-01,3857.57,Withdrawal,Utilities
T369,C10430,2026-03-28,1548.41,Payment,Utilities
T370,C10843,2025-11-14,4271.5,Purchase,Travel
T371,C10297,2025-12-26,4913.03,Payment,Travel
T372,C10434,2026-01-11,1116.89,Transfer,Entertainment
T373,C10695,2025-10-23,558.97,Payment,Retail
T374,C10690,2025-07-17,1344.37,Payment,Travel
T375,C10197,2026-07-24,2953.2,Payment,Food
T376,C10127,2026-02-02,243.46,Transfer,Entertainment
T377,C10531,2026-08-13,668.59,Transfer,Entertainment
T378,C10983,2025-08-30,2170.25,Payment,Entertainment
T379,C10410,2026-03-05,82.44,Transfer,Food
T380,C10933,2025-01-06,389.88,Withdrawal,Healthcare
T381,C10839,2025-11-14,594.06,Payment,Healthcare
T382,C10064,2025-07-31,1008.8,Payment,Food
T383,C10693,2025-09-30,794.88,Payment,Retail
T384,C10240,2025-03-25,810.06,Purchase,Entertainment
T385,C10368,2025-12-26,289.72,Withdrawal,Retail
T386,C10535,2026-01-16,6436.66,Transfer,Healthcare
T387,C10383,2026-06-24,597.12,Payment,Healthcare
T388,C10430,2025-05-21,163.53,Purchase,Food
T389,C10966,2026-05-25,3412.68,Withdrawal,Retail
T390,C10082,2025-06-22,505.18,Purchase,Retail
T391,C10981,2025-01-20,326.33,Purchase,Utilities
T392,C10830,2026-05-18,2160.31,Purchase,Retail
T393,C10696,2026-07-20,652.72,Transfer,Utilities
T394,C10950,2025-08-15,1297.88,Withdrawal,Retail
T395,C10827,2025-04-19,581.98,Payment,Travel
T396,C10610,2025-11-16,690.26,Purchase,Retail
T397,C10573,2025-11-04,406.44,Payment,Entertainment
T398,C10285,2025-03-28,325.7,Payment,Utilities
T399,C10988,2025-08-16,35296.87,Purchase,Utilities
T400,C10533,2025-11-06,479.15,Purchase,Retail
T401,C10458,2026-01-14,253.96,Payment,Travel
T402,C10211,2026-08-06,3396.36,Transfer,Utilities
T403,C10125,2026-01-20,1431.56,Withdrawal,Entertainment
T404,C10412,2025-04-23,1115.9,Purchase,Healthcare
T405,C10498,2025-10-20,673.23,Transfer,Healthcare
T406,C10424,2025-11-01,730.31,Transfer,Utilities
T407,C10553,2025-10-18,814.53,Withdrawal,Utilities
T408,C10609,2025-04-15,3417.06,Withdrawal,Utilities
T409,C10960,2025-10-18,855.46,Purchase,Utilities
T410,C10542,2026-04-22,3442.57,Withdrawal,Utilities
T411,C10157,2026-06-05,1039.33,Payment,Retail
T412,C10111,2025-03-01,893.24,Payment,Retail
T413,C10401,2025-11-08,394.91,Purchase,Entertainment
T414,C10758,2025-04-16,9364.92,Payment,Food
T415,C10121,2025-03-30,1113.18,Purchase,Food
T416,C10272,2025-09-25,1095.29,Purchase,Utilities
T417,C10293,2026-08-06,7036.52,Payment,Utilities
T418,C10397,2025-04-29,1663.21,Payment,Entertainment
T419,C10470,2026-03-21,1857.94,Payment,Travel
T420,C10984,2026-03-05,1164.13,Withdrawal,Retail
T421,C10206,2025-12-17,505.68,Purchase,Travel
T422,C10109,2025-11-02,3702.49,Withdrawal,Utilities
T423,C10439,2025-07-21,266.04,Withdrawal,Entertainment
T424,C10277,2025-01-23,412.92,Transfer,Entertainment
T425,C10962,2025-03-31,504.19,Transfer,Retail
T426,C10567,2026-04-16,1409.88,Payment,Entertainment
T427,C10886,2025-04-03,1079.4,Withdrawal,Food
T428,C10914,2025-10-12,170.26,Transfer,Food
T429,C10568,2025-11-05,11129.99,Transfer,Healthcare
T430,C10939,2026-06-20,2344.52,Purchase,Travel
T431,C10481,2026-01-11,671.17,Withdrawal,Food
T432,C10802,2026-05-14,1691.44,Payment,Retail
T433,C10113,2025-05-22,1714.69,Purchase,Utilities
T434,C10892,2025-02-21,788.29,Purchase,Utilities
T435,C10896,2025-03-11,1625.97,Transfer,Healthcare
T436,C10819,2025-09-17,1645.18,Purchase,Retail
T437,C10852,2025-10-20,3266.32,Payment,Retail
T438,C10476,2026-01-13,1175.04,Payment,Retail
T439,C10709,2025-02-08,1512.68,Purchase,Entertainment
T440,C10932,2025-12-14,889.92,Withdrawal,Utilities
T441,C10320,2026-08-01,710.93,Withdrawal,Travel
T442,C10178,2026-06-09,508.0,Withdrawal,Food
T443,C10896,2026-05-21,490.76,Withdrawal,Food
T444,C10218,2026-01-17,688.94,Transfer,Healthcare
T445,C10788,2026-03-01,866.22,Withdrawal,Utilities
T446,C10948,2026-03-12,2998.57,Purchase,Travel
T447,C10527,2025-11-18,750.48,Payment,Utilities
T448,C10491,2026-08-13,786.34,Purchase,Travel
T449,C10890,2025-09-07,818.62,Withdrawal,Food
T450,C10060,2025-06-29,1045.34,Payment,Healthcare
T451,C10053,2025-01-29,5992.0,Transfer,Healthcare
T452,C10679,2026-05-11,750.59,Transfer,Healthcare
T453,C10537,2025-11-22,1921.98,Transfer,Healthcare
T454,C10847,2025-07-06,1555.73,Withdrawal,Food
T455,C10987,2025-02-24,1166.86,Withdrawal,Utilities
T456,C10064,2026-05-29,420.69,Payment,Entertainment
T457,C10611,2026-02-14,1851.34,Payment,Entertainment
T458,C10585,2025-01-17,159.87,Withdrawal,Utilities
T459,C10703,2026-07-25,395.22,Transfer,Retail
T460,C10170,2025-03-29,638.04,Payment,Healthcare
T461,C10272,2025-08-11,876.09,Payment,Healthcare
T462,C10888,2025-02-27,1192.81,Purchase,Food
T463,C10698,2026-07-16,4408.23,Withdrawal,Food
T464,C10534,2025-08-18,2059.4,Withdrawal,Healthcare
T465,C10390,2025-06-03,1298.38,Withdrawal,Retail
T466,C10939,2025-09-30,783.74,Transfer,Utilities
T467,C10692,2025-02-15,792.05,Payment,Food
T468,C10326,2026-03-28,352.66,Transfer,Utilities
T469,C10107,2025-11-02,133.29,Purchase,Travel
T470,C10846,2026-03-03,306.35,Payment,Travel
T471,C10161,2025-04-28,3536.33,Withdrawal,Travel
T472,C10813,2026-08-03,538.23,Purchase,Entertainment
T473,C10451,2025-09-08,648.91,Withdrawal,Retail
T474,C10205,2026-02-07,3044.36,Purchase,Utilities
T475,C10589,2025-07-19,78.11,Payment,Utilities
T476,C10015,2025-05-26,610.32,Transfer,Food
T477,C10326,2025-02-20,365.8,Payment,Travel
T478,C10607,2026-01-03,1470.82,Transfer,Retail
T479,C10658,2025-11-16,1913.9,Payment,Food
T480,C10001,2025-07-18,1945.28,Purchase,Entertainment
T481,C10009,2026-03-17,4955.33,Payment,Retail
T482,C10433,2025-05-25,1908.35,Transfer,Utilities
T483,C10124,2025-02-28,1406.61,Transfer,Travel
T484,C10080,2025-05-23,12498.79,Purchase,Entertainment
T485,C10484,2025-08-11,130.59,Purchase,Entertainment
T486,C10651,2025-04-10,9904.15,Purchase,Food
T487,C10837,2025-01-26,6259.99,Transfer,Utilities
T488,C10149,2026-03-08,945.35,Withdrawal,Healthcare
T489,C10799,2026-06-10,540.75,Payment,Food
T490,C10872,2025-05-02,567.76,Withdrawal,Healthcare
T491,C10339,2026-04-10,821.78,Purchase,Food
